Sr. No,Symbol,Series,Security Name,From,To
1,RADHIKAJWE,EQ,RADHIKA JEWELTECH LIMITED,10,5
2,HARRMALAYA,BE,HARRISONS  MALAYALAM LIMITED,20,5
3,HIGREEN,SM,HI-GREEN CARBON LIMITED,20,10
4,ISFT,BE,INTRASOFT TECHNOLOGIES LIMITED,20,5
5,LASA,BE,LASA SUPERGENERICS LIMITED,20,5
6,PREMIERENE,EQ,PREMIER ENERGIES LIMITED,20,10
7,SYNCOMF,EQ,SYNCOM FORMULATIONS (INDIA) LIMITED,20,10
8,FMNL,BE,FUTURE MARKET NETWORKS LIMITED,5,2
9,GLOBALE,EQ,GLOBALE TESSILE LIMITED,5,10
10,KHAITANLTD,BE,KHAITAN (INDIA) LIMITED,5,2
11,MFML,EQ,MAHALAXMI FABRIC MILLS LIMITED,5,20
12,ORIENTALTL,BE,ORIENTAL TRIMEX LIMITED,5,2
13,SMSLIFE,BE,SMS LIFESCIENCES INDIA LIMITED,5,2
