Sr. No,Symbol,Series,Security Name,From,To
1,KAUSHALYA,EQ,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,10,5
2,LPDC,BE,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED,10,5
3,GENCON,EQ,GENERIC ENGINEERING CONSTRUCTION AND PROJECTS LIMITED,20,10
4,SHARDAMOTR,EQ,SHARDA MOTOR INDUSTRIES LIMITED,20,10
5,AFIL,EQ,AKME FINTRADE (INDIA) LIMITED,5,20
6,ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,5,2
7,BANKA,BE,BANKA BIOLOO LIMITED,5,2
8,BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,5,2
9,BRNL,BE,BHARAT ROAD NETWORK LIMITED,5,2
10,DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,5,2
11,DURLAX,SM,DURLAX TOP SURFACE LIMITED,5,20
12,FALCONTECH,SM,FALCON TECHNOPROJECTS INDIA LIMITED,5,20
13,GLFL,BE,GUJARAT LEASE FINANCING LIMITED,5,2
14,ICDSLTD,BE,ICDS LIMITED,5,2
15,IL&FSENGG,BZ,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,5,2
16,IL&FSTRANS,BZ,IL&FS TRANSPORTATION NETWORKS LIMITED,5,2
17,RETAIL,EQ,JHS SVENDGAARD RETAIL VENTURES LIMITED,5,20
18,SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,5,2
19,VIVIDHA,BE,VISAGAR POLYTEX LIMITED,5,2
