MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AC,925IBHFL25,SEC RE NCD 9.25% SR.II,       991.00,       965.00,       965.00,       965.00,       965.00,                     9650.00,10, ,1,       995.00,       915.00
N,BF,965IHFL25E,SEC RE NCD 9.65% SR I,      1021.57,      1021.57,      1021.57,      1021.57,      1021.57,                    10215.70,10, ,1,      1047.76,       910.20
N,N0,8ABFL26,SEC RE NCD 8% SR I,      1025.01,      1028.03,      1032.00,      1028.02,      1032.00,                    77319.54,75, ,6,      1184.40,       901.00
N,N0,921ISFL25,SEC RE NCD 9.21% SR 1,       970.00,       978.99,       978.99,       978.99,       978.99,                    29369.70,30, ,1,      1050.00,       933.01
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       988.00,       990.00,       990.00,       988.55,       988.55,                    19785.50,20, ,2,      1007.00,       960.49
N,N0,9PEL25,SEC RE NCD 9.00% SR I,      1034.40,      1040.00,      1040.00,      1034.40,      1037.00,                   274420.00,265, ,4,      1040.00,       985.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       304.89,       304.00,       304.00,       303.21,       303.50,                  1492655.36,4919, ,16,       316.90,       295.00
N,N1,905PEL26,SEC RE NCD 9.05% SR II,      1042.00,      1040.00,      1040.00,      1034.00,      1034.00,                    72530.00,70, ,2,      1042.00,       983.87
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       256.25,       250.00,       251.00,       249.85,       250.84,                    52667.30,210, ,6,       263.74,       240.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1131.00,      1134.50,      1138.99,      1132.00,      1138.99,                  2616910.83,2308, ,13,      1215.90,      1062.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       304.15,       304.75,       304.75,       303.55,       303.61,                   515967.19,1699, ,10,       320.00,       298.45
