MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AG,965IBHFL25,SEC RE NCD SR.III,      1055.00,      1046.28,      1057.18,      1046.28,      1057.18,                    15781.40,15, ,2,      1099.00,       900.00
N,AT,IBHFZC25B,SEC RE NCD SR III,      1039.88,       920.10,       920.10,       920.10,       920.10,                     8280.90,9, ,1,      1060.00,       830.10
N,AY,IBHFZC26B,SEC RE NCD SR VI,       982.00,      1007.11,      1007.11,      1007.11,      1007.11,                    10071.10,10, ,1,      1007.11,       982.00
N,BI,IBHF25B,SEC RE NCD SR III,      1026.00,      1015.00,      1015.00,      1015.00,      1015.00,                    37555.00,37, ,1,      1080.00,       930.00
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,       990.01,       952.00,       990.00,       952.00,       990.00,                   146600.00,150, ,6,      1002.00,       950.00
N,N0,8ABFL26,SEC RE NCD 8% SR I,      1021.01,      1021.01,      1021.01,      1021.01,      1021.01,                     5105.05,5, ,2,      1184.40,       901.00
N,N0,965IHFL25C,SEC RE NCD 9.39% SR.VIII,       892.64,       880.00,       880.00,       880.00,       880.00,                    61600.00,70, ,2,      1038.00,       815.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       983.00,       991.00,       991.00,       986.05,       986.05,                   203145.10,205, ,6,      1007.00,       960.49
N,N1,0MOFSL26,SEC RE NCD SR II,       960.00,       958.00,       958.01,       958.00,       958.01,                    20118.01,21, ,5,      1000.00,       860.00
N,N1,735PFCL35,7.35% TAX FREE NCD,      1242.00,      1260.00,      1260.00,      1260.00,      1260.00,                    56700.00,45, ,1,      1691.90,      1000.10
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       305.70,       303.00,       303.00,       303.00,       303.00,                    29997.00,99, ,3,       316.90,       295.00
N,N1,905PEL26,SEC RE NCD 9.05% SR II,      1043.00,      1028.25,      1028.25,      1028.25,      1028.25,                   102825.00,100, ,1,      1043.00,       983.87
N,N1,960ISFL25,SEC RE NCD 9.60% SR 2,      1032.00,       990.00,       997.10,       990.00,       997.10,                   993550.00,1000, ,9,      1032.00,       901.00
N,N1,ABFL26,SEC RE NCD SR II,      1016.02,      1016.00,      1016.00,      1016.00,      1016.00,                    76200.00,75, ,1,      1016.02,       852.40
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1130.75,      1132.00,      1132.00,      1130.00,      1131.00,                   479340.00,424, ,17,      1330.00,      1062.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       303.00,       303.00,       303.02,       303.00,       303.00,                   107262.80,354, ,8,       320.00,       298.45
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1124.50,      1126.00,      1127.00,      1124.07,      1124.26,                  4499680.60,4000, ,22,      1177.00,      1062.20
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,      1005.00,       991.40,       991.40,       991.40,       991.40,                     2974.20,3, ,1,      1010.00,       991.00
N,N2,9MMFSML,9.00% UNSECURED NCD,      1004.45,      1007.00,      1007.00,      1007.00,      1007.00,                    30210.00,30, ,1,      1131.00,       996.00
N,N3,0MOFSL27,SEC RE NCD SR IV,       999.31,       999.00,       999.00,       999.00,       999.00,                    49950.00,50, ,1,      1000.00,       860.15
N,N3,760PFCL35,7.60% TAX FREE NCD,      1211.51,      1212.00,      1212.00,      1201.30,      1202.41,                   122081.81,101, ,5,      1277.00,      1119.01
