Sr. No,Symbol,Series,Security Name,From,To
1,ACSAL,SM,ARVIND AND COMPANY SHIPPING AGENCIES LIMITED,10,5
2,INTENTECH,BE,INTENSE TECHNOLOGIES LIMITED,10,5
3,UMANGDAIRY,BE,UMANG DAIRIES LIMITED,10,5
4,ABAN,BE,ABAN OFFSHORE LIMITED,2,5
5,ARCHIDPLY,BE,ARCHIDPLY INDUSTRIES LIMITED,2,5
6,CREATIVEYE,BE,CREATIVE EYE LIMITED,2,5
7,DJML,BE,DJ MEDIAPRINT & LOGISTICS LIMITED,2,5
8,ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,2,5
9,ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,2,5
10,EXCEL,BE,EXCEL REALTY N INFRA LIMITED,2,5
11,GLOBAL,BE,GLOBAL EDUCATION LIMITED,2,5
12,GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,2,5
13,GTL,BE,GTL LIMITED,2,5
14,LORDSCHLO,BE,LORDS CHLORO ALKALI LIMITED,2,5
15,MANAKCOAT,BE,MANAKSIA COATED METALS & INDUSTRIES LIMITED,2,5
16,ONELIFECAP,BE,ONELIFE CAPITAL ADVISORS LIMITED,2,5
17,PALREDTEC,BE,PALRED TECHNOLOGIES LIMITED,2,5
18,PARASPETRO,BE,PARAS PETROFILS LIMITED,2,5
19,PIGL,BE,POWER & INSTRUMENTATION (GUJARAT) LIMITED,2,5
20,PRAXIS,BE,PRAXIS HOME RETAIL LIMITED,2,5
21,S&SPOWER,BE,S&S POWER SWITCHGEARS LIMITED,2,5
22,TRF,BE,TRF LIMITED,2,5
23,WEWIN,BE,WE WIN LIMITED,2,5
24,BROOKS,EQ,BROOKS LABORATORIES LIMITED,5,20
25,GATECHDVR,BE,GACM TECHNOLOGIES LIMITED,5,2
26,IRIS,BE,IRIS BUSINESS SERVICES LIMITED,5,2
27,LAGNAM,EQ,LAGNAM SPINTEX LIMITED,5,20
28,LATTEYS,BE,LATTEYS INDUSTRIES LIMITED,5,2
29,NEPHROCARE,SM,NEPHRO CARE INDIA LIMITED,5,10
30,TARMAT,EQ,TARMAT LIMITED,5,10
