Confirmed list of securities to be auctioned in A 2024135 to be held on Jul 22 2024.

Sr No,Symbol,Series,Total Qty
206,QGOLDHALF,EQ,159
207,QUICKHEAL,EQ,4
208,RAILTEL,EQ,13
209,RAJESHEXPO,EQ,10
210,RAJSREESUG,EQ,2
211,RALLIS,EQ,10
212,REDTAPE,EQ,25
213,RELIABLE,EQ,2
214,RELIANCE,EQ,250
215,RELINFRA,EQ,39
216,RETAIL,EQ,436
217,RHIM,EQ,1
218,RHL,EQ,2
219,ROTO,EQ,23
220,RRKABEL,EQ,1
221,RTNPOWER,EQ,5002
222,RUBYMILLS,EQ,100
223,RUPA,EQ,1
224,RUSHIL,EQ,10
225,RVNL,EQ,134
226,SADHNANIQ,EQ,200
227,SAGARDEEP,EQ,300
228,SAIL,EQ,300
229,SANDUMA,EQ,25
230,SARDAEN,EQ,5
231,SELAN,EQ,1
232,SENSEXADD,EQ,1
233,SHAH,EQ,156
234,SHANTIGEAR,EQ,100
235,SHYAMMETL,EQ,6
236,SILVER,EQ,500
237,SKMEGGPROD,EQ,10
238,SOLARINDS,EQ,1
239,SONATSOFTW,EQ,17
240,SOUTHBANK,EQ,75
241,SPENCERS,EQ,20
242,SPLPETRO,EQ,200
243,SRF,EQ,13
244,STANLEY,EQ,4
245,STAR,EQ,1
246,STEL,EQ,2
247,STOVEKRAFT,EQ,1
248,SUMEETINDS,EQ,1
249,SUPERSPIN,EQ,392
250,SURANASOL,EQ,1391
251,SUVENPHAR,EQ,1
252,SUZLON,EQ,90
253,SVPGLOB,EQ,1
254,SYNGENE,EQ,117
255,TANLA,EQ,5
256,TARSONS,EQ,14
257,TCS,EQ,33
258,TEXRAIL,EQ,500
259,TIPSINDLTD,EQ,2
260,TITAGARH,EQ,5
261,TITAN,EQ,37
262,TNPL,EQ,1
263,TRENT,EQ,8
264,TRIVENI,EQ,7
265,TTML,EQ,3158
266,TVSMOTOR,EQ,71
267,UJJIVANSFB,EQ,5
268,VBL,EQ,10
269,VISHNU,EQ,1000
270,VLEGOV,EQ,2040
271,VMART,EQ,62
272,VSTIND,EQ,4
273,WALCHANNAG,EQ,1
274,WELENT,EQ,38
275,WINDMACHIN,EQ,48
276,WIPRO,EQ,157
277,YATHARTH,EQ,1
278,YESBANK,EQ,4730
279,ZENSARTECH,EQ,1
280,ZENTEC,EQ,26
281,ZOMATO,EQ,4068
