Sr. No,Symbol,Series,Security Name,From,To
1,ACL,EQ,ANDHRA CEMENTS LIMITED,10,5
2,APS,SM,AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED,10,5
3,GTLINFRA,EQ,GTL INFRASTRUCTURE LIMITED,10,5
4,REFRACTORY,SM,REFRACTORY SHAPES LIMITED,10,5
5,TECILCHEM,EQ,TECIL CHEMICALS AND HYDRO POWER LIMITED,10,5
6,ESSARSHPNG,EQ,ESSAR SHIPPING LIMITED,20,10
7,IFBIND,EQ,IFB INDUSTRIES LIMITED,20,10
8,MASTER,SM,MASTER COMPONENTS LIMITED,20,10
9,PRLIND,SM,PREMIER ROADLINES LIMITED,20,10
10,ABAN,BE,ABAN OFFSHORE LIMITED,5,2
11,EXCEL,BE,EXCEL REALTY N INFRA LIMITED,5,2
12,MANAKCOAT,BE,MANAKSIA COATED METALS & INDUSTRIES LIMITED,5,2
