"Security Name","Symbol Name","Trade Date","Quantity"
"COROMANDEL INTERNTL. LTD ","COROMANDEL","11-Jun-2024","18200"
"SBI CARDS & PAY SER LTD","SBICARD","11-Jun-2024","5000"
"WIPRO LTD","WIPRO","11-Jun-2024","208500"
