Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,07062024,2035072511,0002490
Trade Date <07-JUN-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0MOFSL26,N1,100,100,100.00
20,2,1003ICCL28,NX,62,62,100.00
20,3,1003ISFL28,N4,25,25,100.00
20,4,1015ECL29,NR,150,150,100.00
20,5,1018GS2026,GS,926,901,97.30
20,6,1025IHF34,Z8,80,80,100.00
20,7,1025IHF34A,ZT,69,69,100.00
20,8,1025NFL25,N5,2,2,100.00
20,9,1025UCL25,N8,51,48,94.12
20,10,1040NFL26,NA,1200,1200,100.00
20,11,1040UCL25,N4,12,12,100.00
20,12,1050ISFL28,N5,10,10,100.00
20,13,1050NFL26,N7,200,200,100.00
20,14,1050UCL25,N7,903,850,94.13
20,15,105IIFL29,N7,450,450,100.00
20,16,1060ECL29,NS,10,10,100.00
20,17,1065NFL27,NC,215,215,100.00
20,18,10CAGL27,N5,10,10,100.00
20,19,10IHFL30A,BV,218,218,100.00
20,20,10IIFL28,N4,321,321,100.00
20,21,10IIFL28A,NE,75,75,100.00
20,22,10NFL25,N9,29,29,100.00
20,23,10NIDO26,N6,200,200,100.00
20,24,1102NFL26,N8,100,50,50.00
20,25,182D010824,TB,100,100,100.00
20,26,182D120924,TB,1400,1400,100.00
20,27,182D130624,TB,200,200,100.00
20,28,182D141124,TB,100,100,100.00
20,29,182D150824,TB,100,100,100.00
20,30,182D220824,TB,200,200,100.00
20,31,182D260924,TB,300,300,100.00
20,32,20MICRONS,EQ,77482,50468,65.14
20,33,360ONE,EQ,234660,144605,61.62
20,34,364D020125,TB,200,200,100.00
20,35,364D060225,TB,200,200,100.00
20,36,364D121224,TB,200,200,100.00
20,37,364D200225,TB,100,100,100.00
20,38,364D280624,TB,5000,5000,100.00
20,39,3IINFOLTD,EQ,8423530,2390104,28.37
20,40,3MINDIA,EQ,6699,3623,54.08
20,41,3PLAND,EQ,19141,10653,55.66
20,42,515GS2025,GS,100,100,100.00
20,43,574GS2026,GS,4,3,75.00
20,44,5PAISA,EQ,41442,18318,44.20
20,45,610GS2031,GS,3696,3696,100.00
20,46,63MOONS,EQ,131384,76215,58.01
20,47,654GS2032,GS,6115,6115,100.00
20,48,667GS2050,GS,6,3,50.00
20,49,669GS2024,GS,2791,2789,99.93
20,50,68GS2060,GS,2,2,100.00
20,51,699GS2051,GS,80,80,100.00
20,52,702GS2027,GS,202311,202211,99.95
20,53,704GS2029,GS,2201,2200,99.95
20,54,706GS2028,GS,12200,12200,100.00
20,55,710GS2029,GS,40072,36872,92.01
20,56,717GS2030,GS,16303,15900,97.53
20,57,718GS2033,GS,2102,2102,100.00
20,58,718GS2037,GS,49752,39926,80.25
20,59,719HUDCO28,N7,200,200,100.00
20,60,719PN37,SG,100,100,100.00
20,61,723GS2039,GS,1000,1000,100.00
20,62,725GS2063,GS,131381,131381,100.00
20,63,725IRFC35,NH,100,100,100.00
20,64,726GS2029,GS,83,83,100.00
20,65,726GS2032,GS,263126,260926,99.16
20,66,726GS2033,GS,1000,1000,100.00
20,67,729NHAI26,NC,2,2,100.00
20,68,732GS2030,GS,100,100,100.00
20,69,733GS2026,GS,20817,20718,99.52
20,70,734GS2064,GS,2838,2838,100.00
20,71,734IRFC28,N4,500,500,100.00
20,72,736GS2052,GS,27817,27817,100.00
20,73,736NTPC25D,NB,1226,1226,100.00
20,74,736PFCL28,N2,200,150,75.00
20,75,737GS2028,GS,4200,4200,100.00
20,76,738GS2027,GS,119721,119721,100.00
20,77,739NHAI26,N8,107,107,100.00
20,78,73GS2053,GS,100,100,100.00
20,79,741GS2036,GS,46001,26000,56.52
20,80,743REC35,NH,300,300,100.00
20,81,746GS2073,GS,1100,1100,100.00
20,82,74GS2035,GS,10,10,100.00
20,83,74GS2062,GS,4,4,100.00
20,84,751HUDCO28,N5,750,500,66.67
20,85,753IRFC30,NJ,20,20,100.00
20,86,753NTPC30E,NC,8,8,100.00
20,87,754GS2036,GS,1275144,1152747,90.40
20,88,760PFCL35,N3,70,70,100.00
20,89,762NTPC35F,ND,100,100,100.00
20,90,764HUDCO31,N8,1,1,100.00
20,91,764NABAR31,N2,49,49,100.00
20,92,769GS2043,GS,350,350,100.00
20,93,769HUDCO31,N9,16,16,100.00
20,94,769NHAI31,NE,759,710,93.54
20,95,76NHAI31,NA,1997,1067,53.43
20,96,772GS2049,GS,1,1,100.00
20,97,785AP37,SG,100,100,100.00
20,98,78ABFL33,N4,20,20,100.00
20,99,797IGT31,NL,195,195,100.00
20,100,79NHIT35,N1,23,13,56.52
20,101,79NHIT40,N2,71,61,85.92
20,102,79NHIT47,N3,823,813,98.78
20,103,801TCH25,N4,820,810,98.78
20,104,805ABFL28,N2,5,5,100.00
20,105,820IIFL27,N9,166,166,100.00
20,106,825IIFL25,N7,1,1,100.00
20,107,828GS2027,GS,1000,1000,100.00
20,108,829LTF24,NL,1103,1079,97.82
20,109,82HUDCO27,N2,200,200,100.00
20,110,82IGT31,NJ,1145,1145,100.00
20,111,830NHAI27,N2,838,838,100.00
20,112,833GS2026,GS,108,108,100.00
20,113,83TCHF25,N6,10,10,100.00
20,114,842IIFL26,NL,665,665,100.00
20,115,843IHFL29,NC,110,110,100.00
20,116,849NTPC25,N7,17821,17821,100.00
20,117,84TCHF28,NA,45,45,100.00
20,118,850NHAI29,N5,4,4,100.00
20,119,854NHPC28,N2,10,10,100.00
20,120,85IIFL25,NO,510,510,100.00
20,121,85PCHFL24,N6,30,30,100.00
20,122,85TCAPS24,N6,446,446,100.00
20,123,860CIFCL28,NG,100,100,100.00
20,124,865IFL28,NZ,716,716,100.00
20,125,865IIFL28,NS,1140,1140,100.00
20,126,865IRFC29,NA,250,250,100.00
20,127,865LTF26,NN,840,640,76.19
20,128,866IBHL25,YP,11,11,100.00
20,129,86LTF24,NJ,543,381,70.17
20,130,871REC28,N9,1377,1051,76.33
20,131,872MMFSL26,N1,210,210,100.00
20,132,875IHFL26,NQ,50,50,100.00
20,133,875IIFL26,NM,51,51,100.00
20,134,875IIFL26A,NQ,118,118,100.00
20,135,875NHAI29,N6,807,588,72.86
20,136,876HUDCO28,ND,150,150,100.00
20,137,879NHPC28,N5,1150,1000,86.96
20,138,87IHFL24A,ZF,21,21,100.00
20,139,87LTF27,NH,5,5,100.00
20,140,885MOFSL26,N0,225,225,100.00
20,141,886REC34,NG,1047,1047,100.00
20,142,888IRFC29,NE,347,337,97.12
20,143,888REC29,NF,350,350,100.00
20,144,890ICCL23A,NZ,56,56,100.00
20,145,891NTPC33,N6,302,302,100.00
20,146,892PFCL33,N8,1368,1359,99.34
20,147,893NHB29,N6,11,11,100.00
20,148,894IHFL27,ZY,1,1,100.00
20,149,897MOFSL29,N4,1454,1000,68.78
20,150,898LTF29,N7,103,103,100.00
20,151,8ABFL26,N0,32,17,53.13
20,152,901HUDCO34,NE,100,100,100.00
20,153,903SFL28,YI,400,400,100.00
20,154,905IHF24,YV,91,91,100.00
20,155,905LTF27,NF,251,251,100.00
20,156,910TCAP28,NA,70,50,71.43
20,157,91D040724,TB,200,200,100.00
20,158,91D080824,TB,1200,1200,100.00
20,159,91D120724,TB,1200,1200,100.00
20,160,91D130624,TB,1100,1100,100.00
20,161,91D150824,TB,100,100,100.00
20,162,91D190724,TB,1300,1300,100.00
20,163,91D230824,TB,400,400,100.00
20,164,91D270624,TB,100,100,100.00
20,165,91SFL27,ZI,200,200,100.00
