Sr. No,Symbol,Series,Security Name,From,To
1,BALKRISHNA,BE,BALKRISHNA PAPER MILLS LIMITED,2,5
2,CROWN,BE,CROWN LIFTERS LIMITED,2,5
3,LAL,BE,LORENZINI APPARELS LIMITED,2,5
4,MACPOWER,BE,MACPOWER CNC MACHINES LIMITED,2,5
5,MODTHREAD,BE,MODERN THREADS (INDIA) LIMITED,2,5
6,TECHIN,BE,TECHINDIA NIRMAN LIMITED,2,5
7,ATMASTCO,SM,ATMASTCO LIMITED,20,10
8,KIRLPNU,EQ,KIRLOSKAR PNEUMATIC COMPANY LIMITED,20,10
9,CCHHL,EQ,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,5,10
10,MITCON,EQ,MITCON CONSULTANCY & ENGINEERING SERVICES LIMITED,5,10
11,ORIANA,SM,ORIANA POWER LIMITED,5,10
12,STARTECK,BE,STARTECK FINANCE LIMITED,5,2
