Sr. No,Symbol,Series,Security Name,From,To
1,CCHHL,BE,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,10,5
2,CENTEXT,EQ,CENTURY EXTRUSIONS LIMITED,10,5
3,COCHINSHIP,EQ,COCHIN SHIPYARD LIMITED,10,5
4,GRSE,EQ,GARDEN REACH SHIPBUILDERS & ENGINEERS LIMITED,10,5
5,KNAGRI,SM,KN AGRI RESOURCES LIMITED,10,5
6,NIRMAN,SM,NIRMAN AGRI GENETICS LIMITED,10,5
7,ONEPOINT,EQ,ONE POINT ONE SOLUTIONS LIMITED,10,5
8,TBI,SM,TBI CORN LIMITED,10,5
9,VINYAS,SM,VINYAS INNOVATIVE TECHNOLOGIES LIMITED,10,5
10,IRIS,BE,IRIS BUSINESS SERVICES LIMITED,2,5
11,SUPREMEENG,BE,SUPREME ENGINEERING LIMITED,2,5
12,TARMAT,BE,TARMAT LIMITED,2,5
13,TVVISION,BE,TV VISION LIMITED,2,5
14,DELAPLEX,SM,DELAPLEX LIMITED,20,10
15,JFLLIFE,SM,JFL LIFE SCIENCES LIMITED,20,10
16,LPDC,EQ,LANDMARK PROPERTY DEVELOPMENT COMPANY LIMITED,20,10
17,MOXSH,SM,MOXSH OVERSEAS EDUCON LIMITED,20,10
18,GPECO,SM,GP ECO SOLUTIONS INDIA LIMITED,5,20
19,JAIPURKURT,BE,NANDANI CREATION LIMITED,5,2
20,SALSTEEL,BE,S.A.L. STEEL LIMITED,5,2
21,SETCO,BE,SETCO AUTOMOTIVE LIMITED,5,2
22,SHRADHA,BE,SHRADHA INFRAPROJECTS LIMITED,5,2
23,SUMIT,BE,SUMIT WOODS LIMITED,5,2
24,UMAEXPORTS,EQ,UMA EXPORTS LIMITED,5,10
