Symbol,Security,From Series,To Series,Change Date,Remarks
EIMCOELECO,EIMCO ELECON (INDIA) LIMITED,BE,EQ,26-AUG-2024,"-"
JAIPURKURT,NANDANI CREATION LIMITED,BE,EQ,26-AUG-2024,"-"
MARSHALL,MARSHALL MACHINES LIMITED,BE,EQ,26-AUG-2024,"-"
NITIRAJ,NITIRAJ ENGINEERS LIMITED,BE,EQ,26-AUG-2024,"-"
OMAXAUTO,OMAX AUTOS LIMITED,BE,EQ,26-AUG-2024,"-"
PPSL,PICTUREPOST STUDIOS LIMITED,ST,SM,26-AUG-2024,"-"
SALSTEEL,S.A.L. STEEL LIMITED,BE,EQ,26-AUG-2024,"-"
SHANTI,SHANTI OVERSEAS (INDIA) LIMITED,BE,EQ,26-AUG-2024,"-"
SRPL,SHREE RAM PROTEINS LIMITED,BE,EQ,26-AUG-2024,"-"
ZODIAC,ZODIAC ENERGY LIMITED,BE,EQ,26-AUG-2024,"-"
