Sr. No,Symbol,Series,Security Name,From,To
1,ASIANENE,EQ,ASIAN ENERGY SERVICES LIMITED,10,5
2,BAHETI,SM,BAHETI RECYCLING INDUSTRIES LIMITED,10,5
3,CALSOFT,EQ,CALIFORNIA SOFTWARE COMPANY LIMITED,10,5
4,DUCON,EQ,DUCON INFRATECHNOLOGIES LIMITED,10,5
5,SADBHAV,EQ,SADBHAV ENGINEERING LIMITED,10,5
6,DRCSYSTEMS,BE,DRC SYSTEMS INDIA LIMITED,2,5
7,GATECHDVR,BE,GACM TECHNOLOGIES LIMITED,2,5
8,HECPROJECT,BE,HEC INFRA PROJECTS LIMITED,2,5
9,IRIS,BE,IRIS BUSINESS SERVICES LIMITED,2,5
10,LATTEYS,BE,LATTEYS INDUSTRIES LIMITED,2,5
11,MADHUCON,BE,MADHUCON PROJECTS LIMITED,2,5
12,SOMICONVEY,BE,SOMI CONVEYOR BELTINGS LIMITED,2,5
13,TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,2,5
14,TVVISION,BE,TV VISION LIMITED,2,5
15,DRSDILIP,SM,DRS DILIP ROADLINES LIMITED,20,10
16,OSWALSEEDS,EQ,SHREEOSWAL SEEDS AND CHEMICALS LIMITED,20,10
17,POCL,EQ,PONDY OXIDES & CHEMICALS LIMITED,20,10
18,RADHIKAJWE,EQ,RADHIKA JEWELTECH LIMITED,20,10
19,RANEENGINE,EQ,RANE ENGINE VALVE LIMITED,20,10
20,SGL,EQ,STL GLOBAL LIMITED,20,10
21,ACCURACY,BE,ACCURACY SHIPPING LIMITED,5,2
22,ANMOL,BE,ANMOL INDIA LIMITED,5,2
23,ASHIMASYN,BE,ASHIMA LIMITED,5,2
24,JAIPURKURT,EQ,NANDANI CREATION LIMITED,5,20
25,MARSHALL,EQ,MARSHALL MACHINES LIMITED,5,20
26,MBLINFRA,BE,MBL INFRASTRUCTURE LIMITED,5,2
27,PPSL,SM,PICTUREPOST STUDIOS LIMITED,5,20
28,SALSTEEL,EQ,S.A.L. STEEL LIMITED,5,10
29,SHANTI,EQ,SHANTI OVERSEAS (INDIA) LIMITED,5,10
30,VIJIFIN,BE,VIJI FINANCE LIMITED,5,2
