MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AN,971IHFL28,SEC RE NCD 9.71% SR.VIII,       930.00,       947.10,       948.00,       947.10,       948.00,                   164862.00,174, ,3,       994.00,       800.00
N,AR,925IHFL25C,SEC RE NCD 9.25% SR II,       972.00,       972.00,       972.00,       972.00,       972.00,                      972.00,1, ,1,      1110.00,       900.10
N,BI,IBHF25B,SEC RE NCD SR III,       998.07,       985.20,      1031.66,       985.20,      1022.57,                   203907.51,203, ,5,      1080.00,       930.00
N,BS,925IHFL28C,SEC RE NCD 10.15% SR VII,       997.17,       979.23,       979.23,       979.23,       979.23,                      979.23,1, ,1,      1007.47,       972.18
N,N0,885MOFSL26,SEC RE NCD 8.85% SR I,       990.00,       992.00,       997.00,       992.00,       997.00,                    19890.00,20, ,2,      1002.00,       950.00
N,N0,921ISFL25,SEC RE NCD 9.21% SR 1,       977.00,       975.00,       975.00,       975.00,       975.00,                     4875.00,5, ,1,      1050.00,       933.01
N,N0,965IHFL25C,SEC RE NCD 9.39% SR.VIII,       896.00,       925.00,       925.00,       925.00,       925.00,                      925.00,1, ,1,      1038.00,       815.00
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       990.00,       995.00,       995.00,       991.02,       991.02,                   218401.96,220, ,7,      1010.00,       960.49
N,N0,9PEL25,SEC RE NCD 9.00% SR I,      1038.51,      1040.00,      1040.00,      1038.00,      1038.00,                   209876.00,202, ,3,      1041.00,       985.00
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       253.00,       250.00,       253.00,       250.00,       253.00,                    51873.00,207, ,3,       265.98,       241.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       305.25,       306.90,       306.90,       304.02,       305.00,                    29274.70,96, ,4,       316.90,       295.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       248.52,       250.00,       250.00,       250.00,       250.00,                    41500.00,166, ,2,       263.74,       240.00
N,N2,764NABAR31,7.64% TAX FREE TRI SRIIB,      1127.00,      1128.60,      1128.60,      1125.00,      1128.00,                  1164085.40,1032, ,18,      1330.00,      1062.30
N,N2,79NHIT40,SEC RE NCD 7.90% STRPP B,       305.00,       305.90,       306.83,       305.90,       306.83,                   134645.90,440, ,9,       320.00,       298.45
N,N2,810IRFC27,BOND 8.10% PA TAX FREE S2,      1121.40,      1130.00,      1130.00,      1124.00,      1124.00,                   648754.00,576, ,4,      1180.00,      1065.00
N,N2,830CIFC26,SEC RE NCD 8.30% SR.III,      1004.00,      1000.00,      1000.00,      1000.00,      1000.00,                    25000.00,25, ,1,      1224.00,       995.00
N,N2,830NHAI27,BOND 8.30% PA TAX FREE S2,      1134.00,      1128.00,      1130.00,      1126.80,      1130.00,                   473933.65,420, ,10,      1177.00,      1062.20
N,N2,91MOFSL27,SEC RE NCD 9.10% SR III,       992.50,      1000.00,      1000.00,      1000.00,      1000.00,                   121000.00,121, ,3,      1010.00,       855.20
N,N2,9MMFSML,9.00% UNSECURED NCD,      1014.00,      1013.01,      1013.01,      1013.01,      1013.01,                   172211.70,170, ,2,      1131.00,       996.00
N,N2,IMC1,SEC RE NCGB 8.25% STRPP C,       254.50,       253.00,       254.80,       250.00,       254.00,                    86765.20,344, ,5,       262.98,       241.00
N,N3,0MOFSL27,SEC RE NCD SR IV,      1001.00,      1001.00,      1001.00,      1001.00,      1001.00,                   500500.00,500, ,1,      1001.00,       860.15
N,N3,10ISFL26,SEC RE NCD 10% SR 4,       994.50,      1000.00,      1000.00,      1000.00,      1000.00,                   200000.00,200, ,2,      1028.00,       973.19
N,N3,79NHIT47,SEC RE NCD 7.90% STRPP C,       407.00,       408.99,       408.99,       407.00,       407.00,                    67244.75,165, ,3,       428.46,       392.00
N,N3,IMC1,SEC RE NCGB 8.25% STRPP D,       250.86,       250.25,       250.25,       250.25,       250.25,                    41541.50,166, ,1,       266.50,       241.81
N,N4,10IIFL28,UNSEC RE NCD 10% SR.I,      1007.00,      1007.00,      1007.00,      1000.00,      1000.00,                    70140.00,70, ,2,      1082.00,       937.00
N,N4,734IRFC28,7.34 NCD 19FEB28 TR1 SR2,      1100.21,      1100.21,      1107.00,      1100.21,      1107.00,                    13277.21,12, ,3,      1169.90,      1050.50
N,N4,801TCH25,SEC RED NCD 8.01% SR.II,       999.26,      1004.00,      1004.00,      1004.00,      1004.00,                    10040.00,10, ,1,      1100.01,       951.00
N,N4,840CIFCL28,SEC RE NCD 8.40% SR.V,       995.00,       995.00,       995.00,       995.00,       995.00,                   131340.00,132, ,4,      1080.00,       975.11
N,N4,888IHFL25E,SEC RE NCD 10.25% SR XII,       913.27,       979.00,       998.00,       979.00,       998.00,                    33532.00,34, ,7,      1010.00,       900.00
