Sr. No,Symbol,Series,Security Name,From,To
1,CELLECOR,SM,CELLECOR GADGETS LIMITED,10,5
2,FELIX,SM,FELIX INDUSTRIES LIMITED,10,5
3,KALYANIFRG,BE,KALYANI FORGE LIMITED,10,5
4,OMAXE,EQ,OMAXE LIMITED,10,5
5,SHRADHA,BE,SHRADHA INFRAPROJECTS LIMITED,10,5
6,SURANAT&P,EQ,SURANA TELECOM AND POWER LIMITED,10,5
7,WINDMACHIN,EQ,WINDSOR MACHINES LIMITED,10,5
8,ZTECH,SM,Z-TECH (INDIA) LIMITED,10,5
9,ABSMARINE,SM,ABS MARINE SERVICES LIMITED,20,10
10,PKTEA,EQ,THE PERIA KARAMALAI TEA & PRODUCE COMPANY LIMITED,20,10
11,SPECTSTM,SM,SPECTRUM TALENT MANAGEMENT LIMITED,20,10
12,ZODIACLOTH,EQ,ZODIAC CLOTHING COMPANY LIMITED,20,10
13,DGCONTENT,EQ,DIGICONTENT LIMITED,5,10
14,KRONOX,EQ,KRONOX LAB SCIENCES LIMITED,5,20
15,TCIFINANCE,BE,TCI FINANCE LIMITED,5,2
16,TREJHARA,BE,TREJHARA SOLUTIONS LIMITED,5,2
17,ZENITHEXPO,BE,ZENITH EXPORTS LIMITED,5,2
