Sr. No,Symbol,Series,Security Name,From,To
1,ADL,BE,ARCHIDPLY DECOR LIMITED,10,5
2,SERVOTECH,EQ,SERVOTECH POWER SYSTEMS LIMITED,10,5
3,SURAJLTD,BE,SURAJ LIMITED,10,5
4,TBZ,EQ,TRIBHOVANDAS BHIMJI ZAVERI LIMITED,10,5
5,MFML,BE,MAHALAXMI FABRIC MILLS LIMITED,20,5
6,NIRAJ,BE,NIRAJ CEMENT STRUCTURALS LIMITED,20,5
7,PASUPTAC,BE,PASUPATI ACRYLON LIMITED,20,5
8,CCCL,EQ,CONSOLIDATED CONSTRUCTION CONSORTIUM LIMITED,5,10
9,IPHL,SM,INDIAN PHOSPHATE LIMITED,5,20
10,JAYBEE,SM,JAY BEE LAMINATIONS LIMITED,5,20
11,SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,5,2
12,VDEAL,SM,VDEAL SYSTEM LIMITED,5,20
