ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF209K01165,BSL201G,GR,OMF,9,905.61
INF209K01157,BSL201D,DP,OMF,9,150.74
INF209K01VG0,B201DZ,DP,OMF,9,230
INF209K01VH8,B201GZ,GR,OMF,9,1000.01
INF209K01587,BSL301QD,DP,OMF,9,13.34
INF209K01579,BSL301G,GR,OMF,9,117.71
INF209K01WY1,B301GZ,GR,OMF,9,126.46
INF209K01ME4,B501G,GR,GMF,10,643.24
INF209K01RU9,B153G,GR,GMF,10,396.38
INF209K01VA3,B153GZ,GR,GMF,10,400.71
INF209K01UZ2,B153DZ,DP,GMF,10,100.2
INF209K01VC9,B153WZ,DP,GMF,10,100.28
INF209K01VD7,B153Z,DP,GMF,10,202.34
INF084M01AU8,59A,DP,OMF,9,24.33
INF209K01AC3,BSL402AG,DP,GMF,10,76.75
INF209K01XP7,B402AZ,GR,GMF,10,82
INF209KA1LC4,B403DZ,DP,GMF,10,12.09
INF209K01314,BSL221D,DP,OMF,9,239.8
INF209K01322,BSL221G,GR,OMF,9,1388.45
INF209K01VT3,B221GZ,GR,OMF,9,1535.52
INF209K01Q06,B221DZ,DP,OMF,9,491.02
INF740K01565,DSPBRBDF,DP,OMF,9,11.58
INF740K01557,DSPBRBF,GR,OMF,9,75.9
INF740K01MZ3,DSPBDDGR,GR,OMF,9,80.34
INF740K01011,DSPBREF,DP,OMF,9,67.92
INF740K01037,DSPBREF,GR,OMF,9,101.19
INF740K01PI2,DSPEQDGR,GR,OMF,9,111.44
INF740K01PJ0,DSPEQDDP,DP,OMF,9,97.03
INF740K01NY4,DSPBLDGR,GR,OMF,9,374.5
INF740K01NZ1,DSPBLDDP,DP,OMF,9,71.06
INF740K01318,DSPBRBALF,GR,OMF,9,336.27
INF740K01326,DSPBRBALF,DP,OMF,9,30.37
INF740K01615,DSPBRGSF,GR,GMF,10,90.25
INF740K01607,DSPBRGSDF,DP,GMF,10,12.67
INF740K01NF3,DSPGSCDGR,GR,GMF,10,95.66
INF740K01714,DSPBRTBF,GR,GMF,10,49.48
INF740K01NU2,DSPTREDGR,GR,GMF,10,50.89
INF740K01094,DSPBROF,GR,OMF,9,614.03
INF740K01078,DSPBROF,DP,OMF,9,42.58
INF740K01PL6,DSPOPPDGR,GR,OMF,9,679.55
INF740K01PM4,DSPOPPDDP,DP,OMF,9,120.25
INF179K01830,HDFCGFG,GR,OMF,9,506.29
INF179K01814,HDFCGFD,DP,OMF,9,41.06
INF179K01WA6,HGFGTGR,GR,OMF,9,544.23
INF179K01VY8,HGFDTDP,DP,OMF,9,47.21
INF179K01947,HDFCIFD,DP,OMF,9,11.35
INF179K01962,HDFCIFG,GR,OMF,9,54.52
INF179K01WJ7,HIFDTDP,DP,OMF,9,12.69
INF179K01WL3,HIFGTGR,GR,OMF,9,60
INF179KA1Q38,HINCRNDP,DP,OMF,9,17.19
INF966L01119,166TPDP,DP,OMF,9,55.7
INF966L01135,166TPGP,GR,OMF,9,401.13
INF966L01960,166TPD1,DP,OMF,9,59.21
INF966L01986,166TPDG,GR,OMF,9,444.2
INF966L01AA0,166IBGP,GR,OMF,9,274.06
INF966L01663,166IBD1,DP,OMF,9,230.74
INF966L01689,166IBDG,GR,OMF,9,295.18
INF192K01585,JMEFDP,DP,OMF,9,32.12
INF192K01601,JMEFGP,GR,OMF,9,165.46
INF192K01JS8,EFAD,DP,OMF,9,33.03
INF192K01BZ0,JMEFDG,GR,OMF,9,186.52
INF192K01528,JMBFDP,DP,OMF,9,35.69
INF192K01544,JMBFGP,GR,OMF,9,127.59
INF192K01BQ9,JMBFDG,GR,OMF,9,143.59
INF192K01HF9,JMFBFYD,DP,OMF,9,35.43
INF192K01999,JMIFRD,DP,OMF,9,19.69
INF192K01AB3,JMIFRG,GR,OMF,9,57.92
INF192K01CW5,JMIFDG,GR,OMF,9,64.26
INF192K01882,JMLFRG,GR,GMF,10,67.17
INF192K01CH6,JMLFDD,DR,GMF,10,10.43
INF192K01CM6,JMLFDG,GR,GMF,10,67.83
INF137A01037,JMBAGP,GR,OMF,9,107.43
INF137A01011,JMBADP,DP,OMF,9,75.02
INF192K01BR7,JMBADD,DP,OMF,9,81.23
INF192K01BT3,JMBADG,GR,OMF,9,119.23
INF174K01FK1,KGIREGQDP,DP,GMF,10,17.85
INF174K01FI5,KGIREGG,GR,GMF,10,91.34
INF174K01FL9,KTKGILT,GR,GMF,10,93.45
INF174K01KM7,KKGIG102D,GR,GMF,10,105.24
INF174K01KF1,K12D,DP,GMF,10,23.21
INF174K01KE4,KKGIG02D,GR,GMF,10,102.75
INF174K01450,KBALANCE,DP,OMF,9,35.62
INF174K01LL7,K04D,DP,OMF,9,43.12
INF174K01F00,KBALG04GD,GR,OMF,9,70.34
INF174K01E92,KBG,GR,OMF,9,60.61
INF174K01JC0,KBONG06D,GR,OMF,9,80.34
INF174K01EM0,KBONREGG,GR,OMF,9,72.14
INF174K01EQ1,KBONREGADP,DP,OMF,9,44.2
INF767K01063,EFDPD,DP,OMF,9,31.91
INF767K01071,EFGPG,GR,OMF,9,101.13
INF767K01EF5,EFD1D,DP,OMF,9,37.17
INF767K01EG3,EFG1G,GR,OMF,9,110.42
INF767K01907,LICNBFDPD,DP,OMF,9,14.75
INF767K01923,LICNBFGPG,GR,OMF,9,67.29
INF767K01EW0,BFG1G,GR,OMF,9,71.89
INF084M01AV6,59C,DR,OMF,9,24.33
INF767K01709,LICNGLGPG,GR,GMF,10,56.42
INF767K01733,LICNGLPGG,GR,GMF,10,32.59
INF767K01EZ3,GLG1G,GR,GMF,10,61.78
INF767K01022,BLDPD,DP,OMF,9,17.04
INF767K01030,BLDPG,GR,OMF,9,192.87
INF767K01EC2,BLD1D,DP,OMF,9,21.13
INF767K01ED0,BLG1G,GR,OMF,9,216.81
INF767K01097,GFDPD,DP,OMF,9,33.84
INF767K01105,GFGPG,GR,OMF,9,56.03
INF767K01EJ7,GFG1G,GR,OMF,9,63.04
INF767K01EI9,GFD1D,DP,OMF,9,39.7
INF109K01EQ7,IPRU12P,DP,OMF,9,33.28
INF109K01431,IPGROWTH11,GR,OMF,9,952.89
INF109K011O5,IPRU8002,GR,OMF,9,1056.12
INF109K019N0,IPRU8003P,DP,OMF,9,54.63
INF109K01EO2,IPRU42P,DP,OMF,9,105.07
INF109K01415,IPFMCG41,GR,OMF,9,523.06
INF109K01Z14,IPRU8011,GR,OMF,9,572.03
INF109K01Y98,IPRU8012P,DP,OMF,9,196.19
INF109K01FN1,IPRU02P,DP,OMF,9,26.1
INF109K01464,IPTAX01,GR,OMF,9,901.59
INF109K01Y31,IPRU8000,GR,OMF,9,995.04
INF109K01Y15,IPRU8001P,DP,OMF,9,48.26
INF109K01DX5,IPRU62P,DP,OMF,9,43.21
INF109K01480,IPRU61,GR,OMF,9,371.83
INF109K01Y07,IPRU8017,GR,OMF,9,410.31
INF109K01X81,IPRU8018P,DP,OMF,9,67.64
INF109KB1QK6,IPRU2759P,DP,OMF,9,28.08
INF109KB1QM2,IPRU8961P,DP,OMF,9,30.63
INF109K01506,IPTECH71,GR,OMF,9,203.92
INF109K01FO9,IPRU72P,DP,OMF,9,70.27
INF109K01Z48,IPRU8019,GR,OMF,9,225.12
INF109K01Z22,IPRU8020P,DP,OMF,9,143.97
INF109K01365,IPRU22,GR,OMF,9,83.67
INF109K01EZ8,IPRU21QP,DP,OMF,9,12.5
INF109K017L8,IPRU8007,GR,OMF,9,91.1
INF109K01JQ6,IP54P,DP,GMF,10,17.79
INF109K01JR4,IPRU53,GR,GMF,10,95.67
INF109K016C9,IPRU8016P,DP,GMF,10,18.77
INF109K018C5,IPRU8015,GR,GMF,10,102.59
INF204K01299,RELGROWTDP,DP,OMF,9,125.7
INF204K01315,RELGROWTBP,GR,OMF,9,664.29
INF204K01323,RELGROWTGP,GR,OMF,9,3990.46
INF204K01E39,RELGRODPDP,DP,OMF,9,195.83
INF204K01E54,RELGRODPGP,GR,OMF,9,4338.83
INF204K01372,RELVISINDP,DP,OMF,9,69.21
INF204K01398,RELVISINBP,GR,OMF,9,237.84
INF204K01406,RELVISINGP,GR,OMF,9,1412.12
INF204K01F04,RELVISDPDP,DP,OMF,9,77.65
INF204K01F20,RELVISDPGP,GR,OMF,9,1510.48
INF204K01CN7,RELINCOMDP,DP,OMF,9,10.86
INF204K01CP2,RELINCOQDP,DP,OMF,9,13.21
INF204K01CT4,RELINCOADP,DP,OMF,9,13.17
INF204K01CL1,RELINCOMGP,GR,OMF,9,84.4
INF204K01CM9,RELINCOMBP,GR,OMF,9,24.26
INF204K01XS2,RELINCDPGP,GR,OMF,9,93.69
INF044D01989,TMFSSGPG,GR,OMF,9,235.76
INF044D01955,TMFSSDPD,DP,OMF,9,114.41
INF044D01BU9,SSG1GTMF,GR,OMF,9,245.14
INF044D01815,TMFDSGPG,GR,OMF,9,128
INF044D01781,TMFDSDPD,DP,OMF,9,114.09
INF044D01CA9,DSG1GTMF,GR,OMF,9,134.61
INF044D01AC9,TMFLTGPG,GR,OMF,9,182.95
INF044D01997,TMFLTDPD,DP,OMF,9,85.7
INF044D01CG6,LTG1GTMF,GR,OMF,9,198.34
INF090I01890,FIIFNSEGP,GR,OMF,9,196.88
INF090I01874,FIIFNSEDP,DP,OMF,9,187.2
INF090I01GQ8,FIIFNSEDDP,DP,OMF,9,196.43
INF090I01GS4,FIIFNSEDGP,GR,OMF,9,206.12
INF090I01CU9,SFLGP,GR,GMF,10,55.05
INF090I01CS3,SFLDP,DP,GMF,10,10.59
INF090I01HS2,FIGSFGP,GR,GMF,10,60.04
INF090I01296,GFGP,GR,OMF,9,746.44
INF090I01270,GFDP,DP,OMF,9,116.51
INF090I01GW6,GFDDP,DP,OMF,9,132.7
INF090I01GY2,GFDGP,GR,OMF,9,823.55
INF090I01155,FIBCFDP,DP,OMF,9,50.54
INF090I01171,FIBCFGP,GR,OMF,9,996.95
INF090I01FO5,FIBCFDDP,DP,OMF,9,58.34
INF090I01FN7,FIBCFDGP,GR,OMF,9,1096.11
INF090I01726,FIPFDP,DP,OMF,9,99.63
INF090I01809,FIPFGP,GR,OMF,9,2694.81
INF090I01FI7,FIPFDDP,DP,OMF,9,118.76
INF090I01FH9,FIPFDGP,GR,OMF,9,3007.57
INF090I01213,FIPPDP,DP,OMF,9,70.91
INF090I01239,FIPPGP,GR,OMF,9,1612.82
INF090I01FL1,FIPPDDP,DP,OMF,9,79.73
INF090I01FK3,FIPPDGP,GR,OMF,9,1782.67
INF090I01759,FIFDP,DP,OMF,9,54.91
INF090I01742,FIFGP,GR,OMF,9,535.68
INF090I01FF3,FIFDDP,DP,OMF,9,60.83
INF090I01FE6,FIFDGP,GR,OMF,9,584.14
INF090I01858,FIOFDP,DP,OMF,9,42.31
INF090I01841,FIOFGP,GR,OMF,9,249.37
INF090I01GD6,FIOFDDP,DP,OMF,9,47.12
INF090I01GC8,FIOFDGP,GR,OMF,9,271.88
INF090I01783,FITAXDP,DP,OMF,9,71.19
INF090I01775,FITAXGR,GR,OMF,9,1463.04
INF090I01JS8,FITAXDGR,GR,OMF,9,1619.49
INF090I01JT6,FITAXDDP,DP,OMF,9,82.01
INF090I01DH4,TIIBAADP,DP,OMF,9,16.67
INF090I01DG6,TIIBAAGP,GR,OMF,9,91.74
INF090I01DJ0,TIIBAAMDP,DP,OMF,9,15.01
INF090I01DL6,TIIBAAQDP,DP,OMF,9,11.97
INF090I01FW8,TIIBAADGP,GR,OMF,9,98.85
INF090I01BL0,FILFWDP,DP,GMF,10,1244.5
INF090I01BB1,FILFGP,GR,GMF,10,5598.21
INF090I01BG0,FILFSIPGP,GR,GMF,10,3700.58
INF090I01BF2,FILFSIPDD,DR,GMF,10,1000
INF090I01BM8,FILFSIPWDP,DP,GMF,10,1025.35
INF090I01JV2,FILFDSIPGP,GR,GMF,10,3728.9
INF090I01JW0,FILFDSIPDD,DP,GMF,10,1001.6
INF090I01JX8,FILFDSIPDP,DP,GMF,10,1021.58
INF090I01825,FTIBFDP,DP,OMF,9,30.68
INF090I01817,FTIBFGP,GR,OMF,9,262.98
INF090I01FZ1,FTIBFDGP,GR,OMF,9,297.62
INF090I01GA2,FTIBFDDP,DP,OMF,9,36.08
INF760K01084,CRETDP,DP,OMF,9,51.33
INF760K01100,CRETGP,GR,OMF,9,173.38
INF760K01EL8,CRETDG,GR,OMF,9,191.74
INF760K01EJ2,CRETDD,DP,OMF,9,82.28
INF760K01AB7,CRGLDPD,DP,GMF,10,15.18
INF760K01AE1,CRGLGPG,GR,GMF,10,71.4
INF760K01FC4,CRGLDG,GR,GMF,10,76.42
INF760K01308,CRMIDP,DP,OMF,9,13.63
INF760K01282,CRMIGP,GR,OMF,9,91.57
INF760K01AP7,CRMIQP,DP,OMF,9,14.26
INF760K01GB4,CRMIDG,GR,OMF,9,103.99
INF760K01FZ5,CRMIDM,DP,OMF,9,16.7
INF903J01FR0,SBSRQDP,DP,OMF,9,12.99
INF903J01FQ2,SBSRG,GR,OMF,9,65.18
INF903J01PO6,22PD,GR,OMF,9,72.24
INF903J01512,SBNPPEQU19,DP,OMF,9,17.09
INF903J01538,SBNPPEQU21,GR,OMF,9,215.63
INF903J01NL7,176DED1,DP,OMF,9,20.67
INF903J01NN3,14PD,GR,OMF,9,227.31
INF200K01610,MLIF-98-DP,DP,OMF,9,17.31
INF200K01594,MLIF-98-G,GR,OMF,9,66.16
INF200K01SR2,SBMIFD028G,GR,OMF,9,70.96
INF200K01420,MSF-IT-DP,DP,OMF,9,125.62
INF200K01VS4,SBITOFRG,GR,OMF,9,208.61
INF200K01404,MSF-FMC-DP,DP,OMF,9,198.93
INF200K01VR6,SBIFMCG,GR,OMF,9,330.41
INF189A01038,UTIMSHARE,DP,OMF,9,56.48
INF789F01976,UTIMSHARE,GR,OMF,9,271.54
INF789F01US8,UTMSHARE,GR,OMF,9,295.47
INF789F01UQ2,UTIMRD1D,DP,OMF,9,65.76
INF189A01053,UTIEQUITY,DP,OMF,9,207.52
INF789F01513,UTIEQUITY,GR,OMF,9,313.89
INF789F01TC4,EQD2G,GR,OMF,9,334.72
INF189A01046,UTITOP100,DP,OMF,9,86.27
INF789F01869,UTITOP100,GR,OMF,9,177.09
INF789F01323,UTIBALANCE,GR,OMF,9,394.26
INF789F01307,UTIBALANCE,DP,OMF,9,45.68
INF789F01BF5,UTIMMFGP,GR,GMF,10,6676.93
INF789F01PW0,MMIDR,DR,GMF,10,1138.38
INF789FA1M61,MMD6D,DP,GMF,10,1549.33
INF789F01XV6,MMD2G,GR,GMF,10,2919.37
INF789F01XU8,MMD1R,DR,GMF,10,1030.95
INF789F01PX8,MMIGG,GR,GMF,10,2886.58
INF789F01828,UTIMNC,DP,OMF,9,209.88
INF789F01844,UTIMNC,GR,OMF,9,407.07
INF789F01406,UTIBOND,GR,OMF,9,68.59
INF789F01380,UTIBANKING,DP,OMF,9,17.62
INF789F01679,UTIPHARMA,DP,OMF,9,207.88
INF789F01695,UTIPHARMA,GR,OMF,9,268.97
INF789F01604,UTIGSECSTP,GR,GMF,5,3325.88
INF789FB1S71,UTIGED2G,GR,GMF,5,3360.5
INF789FB1T13,GEDDR,DR,GMF,10,1370.86
INF789FB1S89,UTIGED3R,DR,GMF,10,1371.66
INF789F01521,UTIETSP,DP,OMF,9,39.72
INF789F01547,UTIETSP,GR,OMF,9,207.89
INF789F01TF7,ETD2G,GR,OMF,9,230.62
INF789F01JN2,NIGPG,GR,OMF,9,167.49
INF789F01JL6,UTINIDPD,DP,OMF,9,84.38
INF789F01XA0,NID2G,GR,OMF,9,169.73
INF789F01WY2,UTINID1D,DP,OMF,9,85.51
INF174K01NL3,KTKLIQDR,DP,GMF,10,1222.81
INF174K01NI9,KLIQPREG,GR,GMF,10,4973.22
INF174K01NE8,KLIQG462D,GR,GMF,10,5015.57
INF204K01UL3,RELLIQTPGP,GR,GMF,10,5345.08
INF204K01ZM0,LFAWRMF,DR,GMF,10,1531.16
INF204K01ZH0,RELLTPDPGP,GR,GMF,10,6074.96
INF204K01UQ2,RELLIQTIQP,DP,GMF,10,1014.14
INF204K01ZG2,LFADRMF,DR,GMF,10,1528.74
INF204K01ZI8,RELLTPDPMD,DP,GMF,10,1594.59
INF846K01578,ATAFIMDP,DP,OMF,9,1014.65
INF204K01UN9,RELLIQTPIG,GR,GMF,10,6004.68
INF204K01UM1,RELLIQTIDR,DR,GMF,10,1528.74
INF204K01US8,RELLIQTIWR,DR,GMF,10,1531.14
INF204K01UO7,RELLIQTIMP,DP,GMF,10,1591.12
INF204K01EF9,RELMEDIUGP,GR,OMF,9,55.66
INF204K01EG7,IPDDRMF,DR,OMF,9,17.1
INF204K01C72,RELMTFDPQD,DP,OMF,9,12.17
INF204K01C15,RELMTFDPGP,GR,OMF,9,58.22
INF767K01931,LICNTPDPD,DP,OMF,9,31.7
INF767K01956,LICNTPGPG,GR,OMF,9,150.94
INF767K01EL3,LICTPD1,DP,OMF,9,37.75
INF767K01EM1,LICTPG1,GR,OMF,9,170.47
INF179KB1HK0,HLQDLFG,GR,GMF,10,4827.5
INF179KB1HP9,HLFGTGR,GR,GMF,10,4876.03
INF179KB1HO2,HLFDMTDP,DP,GMF,10,1030.36
INF179KB1IC5,HLFDDR,DR,GMF,10,1019.82
INF179KB1HM6,HLQDLFDM,DP,GMF,10,1030.32
INF090I01EA7,FTIMIPAGP,GR,OMF,9,85.57
INF090I01EB5,FTIMIPAMDP,DP,OMF,9,13.49
INF090I01ED1,FTIMIPAQDP,DP,OMF,9,12.61
INF090I01GF1,FTIMIPADGP,GR,OMF,9,93.45
INF966L01176,166OFGP,GR,OMF,9,243.87
INF966L01150,166OFDP,DP,OMF,9,86.7
INF966L01861,166OFD1,DP,OMF,9,95.1
INF966L01887,166OFDG,GR,OMF,9,270.75
INF966L01242,166BFDP,DP,OMF,9,60.26
INF966L01267,166BFGP,GR,OMF,9,436.88
INF966L01531,166BFD1,DP,OMF,9,65.12
INF966L01556,166BFDG,GR,OMF,9,470.16
INF966L01218,166GFDP,DP,OMF,9,81.53
INF966L01234,166GFGP,GR,OMF,9,712.89
INF966L01598,166GFD1,DP,OMF,9,89.05
INF966L01614,166GFDG,GR,OMF,9,768.89
INF966L01184,166GLDP,DP,OMF,9,121.75
INF966L01200,166GLGP,GR,OMF,9,132.82
INF966L01564,166GLD1,DP,OMF,9,129.82
INF966L01580,166GLDG,GR,OMF,9,140.86
INF090I01LN5,FIFRDP,DP,OMF,9,10.26
INF090I01LK1,FIFRGP,GR,OMF,9,41.24
INF277K01303,TATABFG,GR,OMF,9,436.74
INF277K01DB6,TATABFD,DP,OMF,9,96.6
INF277K01CS2,TATABFMD,DP,OMF,9,91.76
INF277K01MN2,TEGFD,GR,OMF,9,486.15
INF277K01MO0,TEGFF,DP,OMF,9,106.87
INF277K01ML6,TEGFE,DP,OMF,9,114.16
INF277K01I60,TTSF96A,DP,OMF,9,102.69
INF277K01I94,TTSF96B,DP,OMF,9,228.38
INF277K01I86,TTSF96D,GR,OMF,9,49.96
INF277K01I52,TTSF96C,GR,OMF,9,44.09
INF192K01833,JMLFDP,DR,GMF,10,10.43
INF179K01756,HDFCGLG,GR,GMF,10,51.88
INF179K01772,HDFCGLD,DP,GMF,10,12.04
INF179K01VR2,HGLDTDP,DP,GMF,10,12.86
INF179K01VS0,HGLGTGR,GR,GMF,10,54.41
INF109K01613,IPPOWER121,GR,OMF,9,785.06
INF109K01FK7,IP122P,DP,OMF,9,37.57
INF109K012O3,IPRU8031P,DP,OMF,9,64.06
INF109K014O9,IPRU8030,GR,OMF,9,869.67
INF767K01048,CFGPG,GR,OMF,9,33.73
INF846K01586,ATAFIMDR,DR,OMF,9,1014.65
INF109K01WL0,IP23P,DP,OMF,9,12.11
INF209K01MC8,BSL331G,GR,OMF,9,496.2
INF209K01LZ1,B132G,GR,OMF,9,512.77
INF209K01MA2,B132WD,DP,OMF,9,100.37
INF209K01US7,B132WZ,DP,OMF,9,100.39
INF209K01UQ1,B132DZ,DP,OMF,9,100.26
INF209K01UR9,B132GZ,GR,OMF,9,520.99
INF090I01BZ0,FLDP,DP,GMF,10,10.91
INF090I01CA1,FLGP,GR,GMF,10,46.97
INF090I01GV8,FLDGP,GR,GMF,10,48.46
INF090I01LA2,FLMDP,DP,GMF,10,10.44
INF090I01LC8,FLMDDP,DP,GMF,10,10.87
INF760K01CU3,CRLISDR,DR,GMF,10,1005.5
INF760K01CX7,CRLISMD,DP,GMF,10,1003.65
INF760K01CW9,CRLISGG,GR,GMF,10,2960.15
INF760K01FU6,CRLIDG,GR,GMF,10,2974.71
INF760K01FS0,CRLIDD,DR,GMF,10,1005.5
INF200K01776,MCBP,GR,OMF,9,104.34
INF200K01QR6,SCBSP056GD,GR,OMF,9,113.36
INF955L01484,BPLFG,GR,GMF,10,2830.14
INF955L01AK2,BPMFLFD1,DP,GMF,10,1002.08
INF955L01AL0,BPMFLFD2,GR,GMF,10,2862.6
INF109K01PI0,IPRUINXNB,GR,OMF,9,245.48
INF109K012M7,IPRU8189,GR,OMF,9,255.36
INF109KB1NN7,IPRU2718P,DP,OMF,9,32.7
INF109KB1NL1,IPRU8920P,DP,OMF,9,34.34
INF109K01R22,IPRU8099,DR,GMF,10,100.14
INF109K01R14,IPRU8101,GR,GMF,10,359.3
INF109K01R89,IPRU8103,DP,GMF,10,100.89
INF767K01IQ3,LFDPD,DP,GMF,10,1000.18
INF767K01IS9,LFGPG,GR,GMF,10,4449.35
INF767K01DL5,LFD1D,DP,GMF,10,1033.37
INF767K01DN1,LFG1G,GR,GMF,10,4508.24
INF397L01950,LQWDP,DP,GMF,10,1001.9
INF955L01450,BPGFG,GR,GMF,10,39.62
INF955L01AD7,BPMFGFD2,GR,GMF,10,43.35
INF044D01773,TMFBEGPG,GR,OMF,9,160.06
INF044D01740,TMFBEDPD,DP,OMF,9,70.12
INF044D01BX3,BEG1GTMF,GR,OMF,9,169.08
INF109K01FD2,IPRU25DP,DP,OMF,9,10.89
INF109K01GN9,IP26PP,GR,OMF,9,34.38
INF109K01GK5,IP1713P,DP,OMF,9,21.38
INF109K01GO7,IP1712P,DP,OMF,9,11.71
INF109K016E5,IPRU8145,GR,OMF,9,36.91
INF109K019E9,IPRU8010P,DP,OMF,9,10.58
INF109K01GE8,IP1714P,DP,OMF,9,11.68
INF109K014E0,IPRU8142P,DP,OMF,9,23.95
INF109K012E4,IPRU8143P,DP,OMF,9,11.76
INF109K017E3,IPRU8144P,DP,OMF,9,11.96
INF174K01ES7,KBSTG,GR,OMF,9,48.68
INF174K01JI7,KBSTG10D,GR,OMF,9,53.24
INF174K01Z14,KBST20NDPD,DP,OMF,9,15.06
INF174K01Y98,K20ND,DP,OMF,9,11.53
INF179K01LA9,HINSP,GR,OMF,9,739.99
INF179K01WN9,HINSPT,GR,OMF,9,756.85
INF179K01KZ8,HINNP,GR,OMF,9,231.38
INF179K01WM1,HINNPT,GR,OMF,9,236.22
INF903J01181,SBNPPEQU53,DP,OMF,9,71.82
INF903J01173,SBNPPEQU52,GR,OMF,9,1342.32
INF903J01MJ3,04PD,GR,OMF,9,1454.55
INF903J01MH7,05PD,DP,OMF,9,78.93
INF740K01656,DSPBRSTF,GR,OMF,9,43.48
INF740K01649,DSPBRSTDF,DP,OMF,9,12.3
INF740K01664,DSPBRSTMDF,DP,OMF,9,11.55
INF740K01NJ5,DSPSTDGR,GR,OMF,9,46.99
INF200K01198,MEF-DP,DP,OMF,9,73.92
INF200K01214,MEF-G,GR,OMF,9,236.37
INF200K01SE0,SBESGD007G,GR,OMF,9,257.56
INF760K01340,CRIFDPD,DP,OMF,9,14.94
INF760K01324,CRIFGPG,GR,OMF,9,52.49
INF760K01FI1,CRIFDG,GR,OMF,9,58.29
INF209K01LA4,B241D,DP,OMF,9,25.25
INF209K01LB2,B241G,GR,OMF,9,247.13
INF209K01VY3,B241GZ,GR,OMF,9,251.94
INF209K01VX5,B241DZ,DP,OMF,9,26.05
INF109K01JO1,IPRU1710P,DP,OMF,9,105.57
INF109K01738,IP1524,DP,OMF,9,105.74
INF109K01746,IP1525,GR,OMF,9,508.34
INF109K018Y9,IPRU8271P,DP,OMF,9,102.01
INF109K016Y3,IPRU8270P,DP,OMF,9,101.74
INF109K010Z3,IPRU8272P,DP,OMF,9,109.2
INF109K016Z0,IPRU2072P,DP,OMF,9,108.95
INF109K01P08,IPRU8087P,DP,OMF,9,105.62
INF109K01O66,IPRU8085,DR,OMF,9,105.74
INF109K01O82,IPRU8086,GR,OMF,9,514.78
INF109K014Z5,IPRU2071P,DP,OMF,9,102
INF209K01355,BSL251D,DP,OMF,9,62.07
INF209K01363,BSL251G,GR,OMF,9,778.4
INF209K01Q22,B251DZ,DP,OMF,9,105.1
INF209K01Q30,B251GZ,GR,OMF,9,860.61
INF109K01ED5,IPRU16P,DP,OMF,9,33.03
INF109K01761,IPDYNMIC15,GR,OMF,9,693.65
INF109K015K4,IPRU8004,GR,OMF,9,758.02
INF109K013K9,IPRU8005P,DP,OMF,9,53.62
INF336L01024,OEFDP,DP,OMF,9,50.71
INF336L01016,OEFG,GR,OMF,9,477.45
INF336L01CK1,OHEFDP,DP,OMF,9,47.69
INF336L01CM7,OHEFG,GR,OMF,9,525.78
INF336L01776,OIIG,GR,OMF,9,39.64
INF336L01784,OIIDP,DP,OMF,9,10.83
INF336L01DE2,OHIIG,GR,OMF,9,43.79
INF336L01BM9,OCAPDD,DR,GMF,10,1001.38
INF336L01BN7,OCAPG,GR,GMF,10,2452.57
INF336L01BP2,OCAPMP,DP,GMF,10,1006.97
INF336L01CC8,OHCAPG,GR,GMF,10,2473.34
INF336L01LK2,OHCPWP,DP,GMF,10,1196.51
INF336L01LJ4,OCAPWP,DP,GMF,10,1108.71
INF336L01CB0,OHCPDD,DR,GMF,10,1001.58
INF277K01EE8,TATAIFM,DP,OMF,9,17.25
INF277K01907,TATAIFMG,GR,OMF,9,52.12
INF277K01EF5,TATATIFMQ,DP,OMF,9,24.97
INF846K01CD6,AXISBDWDD,DP,OMF,9,1038.2
INF277K01QH5,TMIF,GR,OMF,9,58.4
INF204K01FL4,RELSHORTGP,GR,OMF,9,49.07
INF204K01FM2,RELSHORTMP,DP,OMF,9,11.52
INF204KA1EQ4,RELSHORTDP,DP,OMF,9,19.96
INF204K01B32,RELSHODPGP,GR,OMF,9,53.05
INF204K01B40,RELSHODPDP,DP,OMF,9,11.75
INF209K01397,BSL261D,DP,OMF,9,30.05
INF209K01405,BSL261G,GR,OMF,9,471.36
INF209K01Q55,B261DZ,DP,OMF,9,54.1
INF209K01WA1,B261GZ,GR,OMF,9,513.84
INF277K01741,TINAD,GR,OMF,9,152.04
INF277K01PJ3,TINAH,GR,OMF,9,164.41
INF740K01243,DSPBRTEF,GR,OMF,9,454.09
INF740K01227,DSPBRTEF,DP,OMF,9,27.44
INF740K01PS1,DSPTOPDDP,DP,OMF,9,31.28
INF740K01PR3,DSPTOPDGR,GR,OMF,9,492.31
INF109K01654,IPRU24,GR,OMF,9,56.07
INF109K013N3,IPRU8009,GR,OMF,9,60.84
INF109K014N1,IPRU8008P,DP,OMF,9,12.73
INF109K01P65,IPRU8128P,DP,OMF,9,184.55
INF109K01P24,IPRU8088,DR,OMF,9,102.11
INF109K01P73,IPRU8090P,DP,OMF,9,102.3
INF109K01P57,IPRU8089,GR,OMF,9,431.67
INF109K01EN4,IP1544P,DP,OMF,9,102.29
INF109K01AX1,IP1543,GR,OMF,9,397.4
INF109K01AW3,IP1542,DP,OMF,9,102.11
INF740K01599,DSPBRFRF,GR,OMF,9,40.88
INF740K01581,DSPBRFRF,DP,OMF,9,11.89
INF740K01JW6,DSPBRIOF,DP,OMF,9,10.78
