ISIN,SYMBOL,SERIES,TYPE,HAIRCUT,NAV
INF336L01PD8,OHFED,DR,OMF,9,23.17
INF754K01LH4,EMFO25RPDP,DR,OMF,9,12.2
INF754K01LK8,EMFO25DRDR,DR,OMF,9,12.2
INF204KB11W9,MFDAR,DR,OMF,9,20.95
INF204KB18V6,MFDR,DR,OMF,9,19.81
INF955L01JT4,BPFLMDPR,DR,OMF,9,21.81
INF205KA1221,IMFF20EFD,DR,OMF,9,26.05
INF205KA1197,IMFF20ERG,DR,OMF,9,24.43
INF846K01X22,GAD1R,DR,OMF,9,17.25
INF846K01X55,GADPR,DR,OMF,9,16.53
INF769K01GF6,MAFEAD2,DR,OMF,9,24.86
INF769K01GC3,MIRAEEARD,DR,OMF,9,24.77
INF109KC1N83,IPRU3436,DR,OMF,9,17.98
INF109KC1O17,IPRU9638,DR,OMF,9,19.09
INF204KB14W3,NSDR,DR,OMF,9,34.17
INF204KB17W6,NSADR,DR,OMF,9,35.11
INF209KB1T61,B67C,DR,OMF,9,19.64
INF754K01LX1,EMFWHDRDR,DR,OMF,9,19.78
INF754K01LT9,EMFWHRPDR,DR,OMF,9,19.35
INF174V01AE2,MMMFERD,DR,OMF,9,20.69
INF769K01GO8,MIRAESLRR,DR,OMF,9,18.16
INF582M01HD2,UNHERDR,DR,OMF,9,17.44
INF174KA1FG8,KOTAMFESG,DR,OMF,9,17.06
INF179KC1AQ1,HDYDDRHMF,DR,OMF,9,25.23
INF179KC1AT5,HDYRDRHMF,DR,OMF,9,23.74
INF769K01GV3,MIRAEBFRR,DR,OMF,9,18.23
INF769K01GY7,MAFBFD2,DR,OMF,9,19.25
INF846K01Y21,AXISSSDPR,DR,OMF,9,18
INF846K01X97,AXISSSD1R,DR,OMF,9,18.94
INF209KB1U68,B68C,DR,OMF,9,17.34
INF204KB15X8,NIMFPPDPR,DR,OMF,9,20.92
INF204KB18X2,NIMFPPADR,DR,OMF,9,21.31
INF109KC1P32,IPRU9642,DR,OMF,9,20.34
INF109KC1P08,IPRU3440,DR,OMF,9,19.3
INF663L01V98,PRMBLDP,DR,OMF,9,12.27
INF204KB15Y6,NIMFALDPR,DR,OMF,9,19.56
INF204KB11Z2,NIMFNVDPR,DR,OMF,9,19.91
INF204KB14Z6,NVADRMF,DR,OMF,9,20.32
INF204KB17Z9,NIMFNPDPR,DR,OMF,9,24.16
INF204KC1014,NPADRMF,DR,OMF,9,24.63
INF00XX01911,ITIRPDRMD,DR,OMF,9,21.2
INF174KA1FY1,KNNIFDR,DR,OMF,9,20.85
INF174KA1GB7,KNNIFDDR,DR,OMF,9,21.23
INF205KA1312,IMFESGRGDR,DR,OMF,9,15.95
INF200KA1U10,SBIDR,DR,OMF,9,16.21
INF200KA1U44,SBIDPDFF,DR,OMF,9,16.64
INF194KB1BU3,IDGIF2028R,DR,GMF,10,10.4
INF754K01MB5,EMFP6RPDR,DR,OMF,9,12.15
INF209KB1W66,B70C,DR,OMF,9,23.57
INF209KB1W90,B70Z,DR,OMF,9,24.08
INF209KB1W09,B69C,DR,OMF,9,21.11
INF209KB1W33,B69Z,DR,OMF,9,21.57
INF109KC1P99,IPRU9644L,DR,OMF,9,18.27
INF760K01JR4,CRFEDD,DR,OMF,9,18.63
INF760K01JU8,CRFEDP,DR,OMF,9,17.6
INF966L01AJ1,166QMDP,DR,OMF,9,24.96
INF966L01AM5,166QMD1,DR,OMF,9,26.44
INF200KA1V92,IDX50631D,DR,OMF,9,19.83
INF200KA1W26,IDX50D631D,DR,OMF,9,20.15
INF846K01Z79,AXISGIDPR,DR,OMF,9,12.54
INF879O01183,PPCHFRM,DR,OMF,9,11.18
INF879O01159,PPCHFDM,DR,OMF,9,11.13
INF209KB1Z97,B79Z,DR,OMF,9,18.03
INF209KB1Z63,B79C,DR,OMF,9,17.67
INF174KA1HC3,KTNTDDR,DR,OMF,9,16.04
INF174KA1GZ6,KTNTDR,DR,OMF,9,15.88
INF179KC1BL0,HBFRDRHMF,DR,OMF,9,14.42
INF179KC1BI6,HBFDDRHMF,DR,OMF,9,15.19
INF109KC1R06,IPRU3444P,DR,OMF,9,18.53
INF109KC1R30,IPRU9646P,DR,OMF,9,19.28
INF204K01ZL2,RELLTPDPQD,DR,GMF,10,1015.81
INF846K013A8,AXISQFDPR,DR,OMF,9,16.98
INF663L01W55,PRMSCDP,DR,OMF,9,15.63
INF760K01JX2,CRVFDD,DR,OMF,9,18.95
INF760K01KA8,CRVFDP,DR,OMF,9,18.07
INF204KC1147,NIMFLCAR,DR,OMF,9,17.69
INF204KC1113,NIMFLCDR,DR,OMF,9,16.92
INF174V01AQ6,MMMFCRD,DR,OMF,9,15.05
INF200KA1Y65,BAF638D,DR,OMF,9,14.7
INF200KA1Y99,BAFD638D,DR,OMF,9,15.15
INF846K015C9,AXISVFDPR,DR,OMF,9,18.37
INF846K012C6,AXISVFD1R,DR,OMF,9,19.13
INF174KA1HU5,KTMFRDR,DR,OMF,9,19.08
INF174KA1HX9,KTMFRDDR,DR,OMF,9,19.96
INF109KC1S70,IPRU3450,DR,OMF,9,11.54
INF109KC1U43,IPRU3455,DR,OMF,9,14.06
INF109KC1U76,IPRU9657,DR,OMF,9.08,14.24
INF767K01QX2,BADPR,DR,OMF,9,12.35
INF00XX01BN1,ITRPDRPH,DR,OMF,9,15.86
INF109KC1V00,IPRU3457,DR,OMF,9,17.8
INF109KC1V34,IPRU9659,DR,OMF,9,18.12
INF209KB10D0,B88Z,DR,OMF,9,13.44
INF209KB17C7,B88C,DR,OMF,9,13.28
INF194KB1CK2,IDFCMCFRR,DR,OMF,9,17.21
INF966L01AS2,166VFDP,DR,OMF,9,21.82
INF966L01AP8,166VFD1,DR,OMF,9,21.58
INF179KC1BX5,HHMCRRHMF,DR,OMF,9,18.15
INF179KC1BU1,HHMCDRHMF,DR,OMF,9,18.93
INF846K018D1,AXISN5DPR,DR,OMF,9,14.54
INF846K015D7,AXISN5D1R,DR,OMF,9,14.65
INF846K015E5,AXISMTD1R,DR,OMF,9,18.03
INF846K018E9,AXISMTDPR,DR,OMF,9,17.37
INF109KC1W41,IPRU3461,DR,OMF,9,18.66
INF109KC1W74,IPRU9663,DR,OMF,9,19.03
INF174V01BD2,MMMBARD,DR,OMF,9,13
INF109KC1Y07,IPRU3468,DR,OMF,9,13.64
INF846K011F1,AXISN6D1R,DR,OMF,9,17.97
INF200KA12D7,CPSE649D,DR,OMF,9,11.46
INF173K01AI8,PMFXFDP,DR,OMF,9,90.85
INF173K01EX9,PMFXFZP,DR,OMF,9,95.28
INF173K01DK8,PMFFFIM,DR,OMF,9,1085.87
INF173K01205,PMFLCDP,DR,OMF,9,45.68
INF173K01EL4,PMFLCZP,DR,OMF,9,49.23
INF173K01CY1,PMFMMIM,DR,OMF,9,1060.53
INF173K01BC9,PMFISIM,DR,OMF,9,12.86
INF173K01CJ2,PMFSBDP,DR,OMF,9,29.99
INF173K01FC0,PMFSBZP,DR,OMF,9,45.31
INF173K01FO5,PMFGFZP,DR,OMF,9,94.63
INF173K01965,PMFGFDP,DR,OMF,9,70.86
INF173K01254,PMFMIMP,DR,OMF,9,16.06
INF173K01270,PMFMIQP,DR,OMF,9,17.32
INF173K01ET7,PMFDYZP,DR,OMF,9,73.03
INF173K01AE7,PMFDYDP,DR,OMF,9,44.12
INF173K01569,PMFSADP,DR,OMF,9,16.41
INF173K01FG1,PMFSAZP,DR,OMF,9,19.8
INF204KC1360,NIMFSODR,DR,OMF,9,13.11
INF205KA1478,IMFF9DPRR,DR,OMF,9,17.86
INF109KC1Z14,IPRU9674,DR,OMF,9.31,13.25
INF109KC1Y80,IPRU3472,DR,OMF,9.25,13.08
INF740KA1QO4,DSPGFRDR,DR,OMF,9,13.79
INF740KA1QR7,DSPGFDDR,DR,OMF,9,14.11
INF194KB1CQ9,IDNF100RR,DR,OMF,9,14.94
INF174KA1IH0,KMIFDDR,DR,OMF,9,19.8
INF174KA1IE7,KMIFDR,DR,OMF,9,19.01
INF174KA1IN8,KAR2027DDR,DR,OMF,9,11.5
INF109KC13A0,IPRU9676,DR,OMF,9,14.41
INF200KA10F6,MCFD652D,DR,OMF,9,16.47
INF200KA17E4,MCF652D,DR,OMF,9,16.08
INF846K018H2,AXISNSDPR,DR,OMF,9,18.45
INF846K015H8,AXISNSD1R,DR,OMF,9,18.78
INF846K011I5,AXISNMD1R,DR,OMF,9,19.7
INF846K014I9,AXISNMDPR,DR,OMF,9,19.36
INF336L01QM7,OCXD,DR,OMF,9,11.57
INF251K01EC7,BNP22,DR,OMF,9,10.43
INF251K01HM9,70D,DR,OMF,9,31.36
INF251K01902,BNP02DR,DR,OMF,9,26.38
INF251K01860,BNP12DR,DR,OMF,9,11.33
INF251K01HT4,66MD,DR,OMF,9,13.55
INF251K01AY9,BNP05DR,DR,OMF,9,64.36
INF251K01HP2,71D,DR,OMF,9,80.28
INF251K01PC3,628RM,DR,OMF,9,10.38
INF251K01PE9,628DM,DR,OMF,9,10.8
INF251K01OX2,629RD,DR,OMF,9,18.15
INF251K01PM2,630RD,DR,OMF,9,18.17
INF251K01PR1,631RD,DR,OMF,9,24.15
INF251K01PU5,631DD,DR,OMF,9,27.24
INF109KC19B5,IPRU3481,DR,OMF,9,16.65
INF109KC12C8,IPRU9683,DR,OMF,9,17.21
INF03VN01514,WOCF1036,DR,OMF,9,16.32
INF03VN01548,WOCF1039,DR,OMF,9,16.84
INF754K01ON6,EMFDCRDR,DR,OMF,9,16.44
INF251K01QY5,FXRDR,DR,OMF,9,15.72
INF194KB1DO2,IDMIDRR,DR,OMF,9,17.47
INF966L01AV6,166LCD1,DR,OMF,9,16.12
INF966L01AY0,166LCDP,DR,OMF,9,15.58
INF204K01IH6,RELNIFHFDP,DP,OMF,9,32.66
INF109KC12E4,IPRU3488,DR,OMF,9,13.97
