Sr. No,Symbol,Series,Security Name,From,To
1,ARVEE,BE,ARVEE LABORATORIES (INDIA) LIMITED,10,5
2,DCI,EQ,DC INFOTECH AND COMMUNICATION LIMITED,10,5
3,INDSWFTLTD,BE,IND-SWIFT LIMITED,10,5
4,KAUSHALYA,EQ,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,10,5
5,MODIRUBBER,EQ,MODI RUBBER LIMITED,10,5
6,EMKAY,EQ,EMKAY GLOBAL FINANCIAL SERVICES LIMITED,20,10
7,ORIANA,SM,ORIANA POWER LIMITED,20,10
8,OSWALSEEDS,BE,SHREEOSWAL SEEDS AND CHEMICALS LIMITED,20,5
9,PURVA,EQ,PURAVANKARA LIMITED,20,10
10,OSIAHYPER,BE,OSIA HYPER RETAIL LIMITED,5,2
