Sr. No,Symbol,Series,Security Name,From,To
1,AARTECH,BE,AARTECH SOLONICS LIMITED,2,5
2,CTE,BE,CAMBRIDGE TECHNOLOGY ENTERPRISES LIMITED,2,5
3,DIACABS,BE,DIAMOND POWER INFRASTRUCTURE LIMITED,2,5
4,ESSENTIA,BE,INTEGRA ESSENTIA LIMITED,2,5
5,HINDCON,BE,HINDCON CHEMICALS LIMITED,2,5
6,OMAXAUTO,BE,OMAX AUTOS LIMITED,2,5
7,RHFL,BE,RELIANCE HOME FINANCE LIMITED,2,5
8,SHYAMTEL,BE,SHYAM TELECOM LIMITED,2,5
9,TARAPUR,BE,TARAPUR TRANSFORMERS LIMITED,2,5
10,TIJARIA,BE,TIJARIA POLYPIPES LIMITED,2,5
11,TNTELE,BE,TAMILNADU TELECOMMUNICATION LIMITED,2,5
12,BTML,BE,BODHI TREE MULTIMEDIA LIMITED,20,5
13,KCP,EQ,KCP LIMITED,20,10
14,ARCHIES,EQ,ARCHIES LIMITED,5,10
15,DBCORP,EQ,D.B.CORP LIMITED,5,10
16,KEEPLEARN,BE,DSJ KEEP LEARNING LIMITED,5,2
17,LOTUSEYE,EQ,LOTUS EYE HOSPITAL AND INSTITUTE LIMITED,5,20
18,MANINDS,EQ,MAN INDUSTRIES (INDIA) LIMITED,5,20
19,RHL,EQ,ROBUST HOTELS LIMITED,5,20
20,RPPL,EQ,RAJSHREE POLYPACK LIMITED,5,20
21,UNIINFO,EQ,UNIINFO TELECOM SERVICES LIMITED,5,20
22,BKMINDST,BZ,BKM INDUSTRIES LIMITED,2,5
