Symbol,Security,From Series,To Series,Change Date,Remarks
AAATECH,AAA TECHNOLOGIES LIMITED,BE,EQ,16-JUL-2024,"-"
AAREYDRUGS,AAREY DRUGS & PHARMACEUTICALS LIMITED,BE,EQ,16-JUL-2024,"-"
AIMTRON,AIMTRON ELECTRONICS LIMITED,SM,ST,16-JUL-2024,"-"
AISL,ANI INTEGRATED SERVICES LIMITED,ST,SM,16-JUL-2024,"-"
AKANKSHA,AKANKSHA POWER AND INFRASTRUCTURE LIMITED,SM,ST,16-JUL-2024,"-"
AKIKO,AKIKO GLOBAL SERVICES LIMITED,ST,SM,16-JUL-2024,"-"
ALPEXSOLAR,ALPEX SOLAR LIMITED,SM,ST,16-JUL-2024,"-"
ALUWIND,ALUWIND ARCHITECTURAL LIMITED,SM,ST,16-JUL-2024,"-"
ANLON,ANLON TECHNOLOGY SOLUTIONS LIMITED,SM,ST,16-JUL-2024,"-"
APS,AUSTRALIAN PREMIUM SOLAR (INDIA) LIMITED,SM,ST,16-JUL-2024,"-"
ARHAM,ARHAM TECHNOLOGIES LIMITED,ST,SM,16-JUL-2024,"-"
ASIANHOTNR,ASIAN HOTELS (NORTH) LIMITED,BE,EQ,16-JUL-2024,"-"
ASLIND,ASL INDUSTRIES LIMITED,ST,SM,16-JUL-2024,"-"
ATAM,ATAM VALVES LIMITED,BE,EQ,16-JUL-2024,"-"
ATMASTCO,ATMASTCO LIMITED,SM,ST,16-JUL-2024,"-"
ATULAUTO,ATUL AUTO LIMITED,EQ,BE,16-JUL-2024,"-"
BASILIC,BASILIC FLY STUDIO LIMITED,SM,ST,16-JUL-2024,"-"
BBOX,BLACK BOX LIMITED,EQ,BE,16-JUL-2024,"-"
BINANIIND,BINANI INDUSTRIES LIMITED,BE,EQ,16-JUL-2024,"GSM STAGE - 0"
BIRDYS,GRILL SPLENDOUR SERVICES LIMITED,SM,ST,16-JUL-2024,"-"
BPL,BPL LIMITED,EQ,BE,16-JUL-2024,"-"
