Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,15072024,1977862453,0002533
Trade Date <15-JUL-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,0IHFL26,YR,3,3,100.00
20,2,0MOFSL26,N1,175,175,100.00
20,3,1003ISFL28,N4,1682,1682,100.00
20,4,1015ECL29,NR,1516,1431,94.39
20,5,1015IHF28B,AZ,51,51,100.00
20,6,1018GS2026,GS,4095,4095,100.00
20,7,1025NFL25,N5,62,61,98.39
20,8,1025UCL25,N8,6,6,100.00
20,9,1040UCL25,N4,69,69,100.00
20,10,1049DLS25A,Y5,15,15,100.00
20,11,1049DLSL25,NX,7,7,100.00
20,12,1050NFL26,N7,7,6,85.71
20,13,1050UCL25,N7,198,198,100.00
20,14,1052DLSL24,NP,6,6,100.00
20,15,105IIFL29,N7,20,10,50.00
20,16,105UCL2026,NB,10,10,100.00
20,17,1060ECL29,NS,50,50,100.00
20,18,1065NFL27,NC,943,943,100.00
20,19,1075NFL25,N6,1,1,100.00
20,20,10CAGL27,N5,10,10,100.00
20,21,10IHFL30A,BV,60,60,100.00
20,22,10IIFL28,N4,906,906,100.00
20,23,10IIFL28A,NE,231,231,100.00
20,24,10IIFL29,N6,48,48,100.00
20,25,10NFL25,N9,131,131,100.00
20,26,10NIDO26,N6,430,430,100.00
20,27,11DLSL25,NV,1,1,100.00
20,28,182D010824,TB,1100,1100,100.00
20,29,182D020125,TB,500,500,100.00
20,30,182D090125,TB,1100,1100,100.00
20,31,182D111024,TB,200,200,100.00
20,32,182D121224,TB,200,200,100.00
20,33,182D150824,TB,700,700,100.00
20,34,182D191224,TB,300,300,100.00
20,35,182D241024,TB,1300,800,61.54
20,36,182D281124,TB,200,200,100.00
20,37,182D290824,TB,100,100,100.00
20,38,20MICRONS,EQ,103011,42840,41.59
20,39,360ONE,EQ,459178,189830,41.34
20,40,364D051224,TB,1000,1000,100.00
20,41,364D090125,TB,11100,11100,100.00
20,42,364D100725,TB,1000,1000,100.00
20,43,364D110425,TB,100,100,100.00
20,44,364D120625,TB,7200,7200,100.00
20,45,364D160125,TB,200,200,100.00
20,46,364D211124,TB,100,100,100.00
20,47,364D230125,TB,700,700,100.00
20,48,364D270325,TB,2500,2500,100.00
20,49,364D300125,TB,100,100,100.00
20,50,364D311024,TB,100,100,100.00
20,51,3IINFOLTD,EQ,1514525,535689,35.37
20,52,3MINDIA,EQ,4253,1014,23.84
20,53,3PLAND,EQ,19459,10791,55.46
20,54,563GS2026,GS,2,2,100.00
20,55,574GS2026,GS,68,68,100.00
20,56,5PAISA,EQ,1422180,268658,18.89
20,57,610GS2031,GS,1948,1948,100.00
20,58,63MOONS,EQ,168319,102161,60.69
20,59,654GS2032,GS,100,100,100.00
20,60,667GS2050,GS,120,119,99.17
20,61,676GS2061,GS,3683,3683,100.00
20,62,689GS2025,GS,1,1,100.00
20,63,68GS2060,GS,2,2,100.00
20,64,695GS2061,GS,3,2,66.67
20,65,699GS2026,GS,50900,50900,100.00
20,66,699GS2051,GS,2005,2005,100.00
20,67,702GS2027,GS,100,100,100.00
20,68,702GS2031,GS,480,480,100.00
20,69,704GS2029,GS,2400,1700,70.83
20,70,706GS2028,GS,20482,15982,78.03
20,71,710GS2029,GS,3816,3815,99.97
20,72,716GS2050,GS,200,200,100.00
20,73,717GS2030,GS,3350,3350,100.00
20,74,718GS2033,GS,612,511,83.50
20,75,718GS2037,GS,110418,100000,90.56
20,76,71GS2034,GS,110,110,100.00
20,77,724UP32,SG,100,100,100.00
20,78,725GS2063,GS,36942,36842,99.73
20,79,726GS2032,GS,1001,1001,100.00
20,80,732GS2030,GS,5920,5700,96.28
20,81,733GS2026,GS,5400,5400,100.00
20,82,734GS2064,GS,3170,1880,59.31
20,83,734IRFC28,N4,1305,1205,92.34
20,84,735NHAI31,N9,263,218,82.89
20,85,736GS2052,GS,1000,1000,100.00
20,86,736NTPC25D,NB,174,174,100.00
20,87,736PFCL28,N2,14,14,100.00
20,88,737GS2028,GS,200,200,100.00
20,89,738GS2027,GS,198739,198637,99.95
20,90,738REC27TF,N2,30,30,100.00
20,91,73GS2053,GS,203020,203020,100.00
20,92,740IIFCL33,N1,500,500,100.00
20,93,748MH35,SG,100,100,100.00
20,94,74GS2062,GS,150,150,100.00
20,95,750IRFC35,NK,100,100,100.00
20,96,751HUDCO28,N5,1170,1050,89.74
20,97,753IRFC30,NJ,302,201,66.56
20,98,754GS2036,GS,622902,600899,96.47
20,99,757GS2033,GS,1000,1000,100.00
20,100,762GS2039,GS,2,1,50.00
20,101,762KL38,SG,800,800,100.00
20,102,764HUDCO31,N8,3,1,33.33
20,103,764IRFC31,NO,3242,3222,99.38
