Sr. No,Symbol,Series,Security Name,From,To
1,ATLANTAA,BE,ATLANTAA LIMITED,2,5
2,DUCON,BE,DUCON INFRATECHNOLOGIES LIMITED,2,5
3,JHS,BE,JHS SVENDGAARD LABORATORIES LIMITED,2,5
4,KEEPLEARN,BE,DSJ KEEP LEARNING LIMITED,2,5
5,ROLLT,BE,ROLLATAINERS LIMITED,2,5
6,HPL,EQ,HPL ELECTRIC & POWER LIMITED,20,10
7,CYBERMEDIA,EQ,CYBER MEDIA (INDIA) LIMITED,5,10
8,INDSWFTLTD,EQ,IND-SWIFT LIMITED,5,10
9,IWEL,EQ,INOX WIND ENERGY LIMITED,5,10
10,KEYFINSERV,EQ,KEYNOTE FINANCIAL SERVICES LIMITED,5,20
11,MALUPAPER,EQ,MALU PAPER MILLS LIMITED,5,20
12,MASON,SM,MASON INFRATECH LIMITED,5,20
13,MOKSH,EQ,MOKSH ORNAMENTS LIMITED,5,10
14,OCCL,EQ,ORIENTAL CARBON & CHEMICALS LIMITED,5,20
15,OSWALSEEDS,EQ,SHREEOSWAL SEEDS AND CHEMICALS LIMITED,5,20
16,SHREERAMA,BE,SHREE RAMA MULTI-TECH LIMITED,5,2
17,SPCL,SM,SHIVALIC POWER CONTROL LIMITED,5,20
18,SYLVANPLY,SM,SYLVAN PLYBOARD (INDIA) LIMITED,5,20
19,VASWANI,EQ,VASWANI INDUSTRIES LIMITED,5,20
20,VISAMAN,SM,VISAMAN GLOBAL SALES LIMITED,5,20
