Symbol,Security,From Series,To Series,Change Date,Remarks
CEREBRAINT,CEREBRA INTEGRATED TECHNOLOGIES LIMITED,EQ,BE,08-AUG-2024,"-"
COUNCODOS,COUNTRY CONDO'S LIMITED,EQ,BE,08-AUG-2024,"-"
ENERGYDEV,ENERGY DEVELOPMENT COMPANY LIMITED,EQ,BE,08-AUG-2024,"-"
GSTL,GLOBESECURE TECHNOLOGIES LIMITED,SM,ST,08-AUG-2024,"-"
MAITREYA,MAITREYA MEDICARE LIMITED,SM,ST,08-AUG-2024,"-"
RHL,ROBUST HOTELS LIMITED,EQ,BE,08-AUG-2024,"-"
SHAH,SHAH METACORP LIMITED,EQ,BE,08-AUG-2024,"-"
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,EQ,BE,08-AUG-2024,"-"
SILLYMONKS,SILLY MONKS ENTERTAINMENT LIMITED,EQ,BE,08-AUG-2024,"GSM STAGE - 0"
TARMAT,TARMAT LIMITED,EQ,BE,08-AUG-2024,"-"
WEALTH,WEALTH FIRST PORTFOLIO MANAGERS LIMITED,EQ,BE,08-AUG-2024,"-"
