Confirmed list of securities to be auctioned in A 2024089 to be held on May 14 2024.

Sr No,Symbol,Series,Total Qty
1,ABB,EQ,1
2,ABBOTINDIA,EQ,1
3,ABCAPITAL,EQ,112
4,ABFRL,EQ,2173
5,ACLGATI,EQ,2
6,ADANIENT,EQ,31
7,ADANIPORTS,EQ,17
8,AIIL,EQ,1
9,ALKEM,EQ,2
10,ANGELONE,EQ,3
11,ASALCBR,EQ,43
12,ASHIMASYN,EQ,109
13,ASHOKLEY,EQ,55
14,ASIANPAINT,EQ,6
15,ASTRAL,EQ,25
16,AUROPHARMA,EQ,273
17,AURUMPP1,E1,15
18,AVROIND,EQ,20
19,AXISBANK,EQ,10
20,BABAFP,SM,1600
21,BAJAJ-AUTO,EQ,3
22,BAJEL,EQ,1
23,BAJFINANCE,EQ,1
24,BALKRISIND,EQ,5
25,BEDMUTHA,EQ,72
26,BEML,EQ,4
27,BHAGCHEM,EQ,2
28,BHARATFORG,EQ,10
29,BHARATWIRE,EQ,104
30,BHEL,EQ,86
31,BINANIIND,EQ,2
32,BOMDYEING,EQ,50
33,BPCL,EQ,500
34,BSOFT,EQ,10
35,CANBK,EQ,80
36,CANFINHOME,EQ,10
37,CCHHL,EQ,435
38,CDSL,EQ,100
39,CHAMBLFERT,EQ,12
40,CIPLA,EQ,8
41,COALINDIA,EQ,2
42,CONCOR,EQ,7
43,CORDSCABLE,EQ,302
44,COROMANDEL,EQ,9
45,CROMPTON,EQ,1
46,DALBHARAT,EQ,4
47,DBCORP,EQ,256
48,DCAL,EQ,50
49,DCMNVL,EQ,5
50,DELTAMAGNT,EQ,47
51,DIVISLAB,EQ,3
52,DLF,EQ,25
53,DRCSYSTEMS,EQ,568
54,DRREDDY,EQ,1
55,DSSL,EQ,1
56,DYCL,EQ,16741
57,EBBETF0433,EQ,2
58,EICHERMOT,EQ,20
59,ESCORTS,EQ,9
60,ESILVER,EQ,290
61,EXICOM,EQ,64
62,FCONSUMER,EQ,1
63,FEDERALBNK,EQ,1060
64,FIBERWEB,EQ,100
65,FINPIPE,EQ,101
66,GAIL,EQ,1047
67,GALAXYSURF,EQ,100
68,GEPIL,EQ,2
69,GMDCLTD,EQ,25
70,GMRP&UI,EQ,8
71,GODFRYPHLP,EQ,1
72,GRANULES,EQ,20
73,GRASIM,EQ,1
74,GUJGASLTD,EQ,16
75,HAL,EQ,7
76,HAVELLS,EQ,11
77,HCLTECH,EQ,8
78,HDFCAMC,EQ,2
79,HDFCBANK,EQ,10
80,HDFCLIFE,EQ,200
81,HERCULES,EQ,200
82,HERITGFOOD,EQ,6
83,HINDALCO,EQ,396
84,HINDCOPPER,EQ,8771
85,HINDUNILVR,EQ,1
86,HITECH,EQ,10
87,HNGSNGBEES,EQ,441
88,HUDCO,EQ,2
89,ICICIBANK,EQ,900
90,ICICIGI,EQ,6
91,IDFCFIRSTB,EQ,2970
92,IEX,EQ,38
93,IGL,EQ,14
94,IMAGICAA,EQ,3400
95,INDGN,EQ,300
96,INDIACEM,EQ,20
97,INDIAMART,EQ,1
98,INDOBORAX,EQ,1
99,INDUSINDBK,EQ,112
100,INFIBEAM,EQ,477
101,IRCTC,EQ,122
102,JINDALSTEL,EQ,26
103,JNKINDIA,EQ,37
104,JSFB,EQ,373
105,JSWSTEEL,EQ,39
106,JUBLFOOD,EQ,13
107,KAPSTON,EQ,788
108,KIRLOSENG,EQ,10
109,KMSUGAR,EQ,1934
110,KPIL,EQ,2
111,LALPATHLAB,EQ,5
112,LANCORHOL,EQ,116
113,LASA,EQ,132
114,LICHSGFIN,EQ,1000
115,LIQUIDADD,EQ,24
116,LIQUIDIETF,EQ,25
117,LTF,EQ,90
118,LTGILTBEES,EQ,976
119,LTTS,EQ,2
120,LUMAXTECH,EQ,2500
121,MACPOWER,EQ,6
122,MAHABANK,EQ,150
123,MARICO,EQ,17
124,MARINE,EQ,880
125,MEGASOFT,EQ,436
126,METROPOLIS,EQ,2741
127,MFSL,EQ,1
128,MGL,EQ,5
129,MITCON,EQ,547
130,MOIL,EQ,50
131,MONTECARLO,EQ,1
132,MPHASIS,EQ,9
133,MRO-TEK,EQ,4205
134,MUTHOOTFIN,EQ,1
135,NAM-INDIA,EQ,5
136,NAVINFLUOR,EQ,4
137,NCC,EQ,1043
138,NUVAMA,EQ,100
139,ORIANA,SM,150
140,ORIENTBELL,EQ,2
141,ORIENTCEM,EQ,2500
142,OSWALGREEN,EQ,402
143,PARSVNATH,EQ,2934
144,PAYTM,EQ,558
145,PENIND,EQ,2
146,PENINLAND,EQ,49
147,PETRONET,EQ,40
148,PFC,EQ,13
149,PHARMABEES,EQ,50
150,PIDILITIND,EQ,1
151,PIIND,EQ,3
152,PNB,EQ,70
153,POLYCAB,EQ,14
154,PRATHAM,SM,6400
155,PVRINOX,EQ,5
156,RAMCOCEM,EQ,7
157,RANASUG,EQ,7
158,RCF,EQ,1416
159,RELIANCE,EQ,10
160,RELIGARE,EQ,550
161,REMSONSIND,EQ,4
162,REPCOHOME,EQ,85
163,RRKABEL,EQ,5
164,SBGLP,EQ,4
165,SBICARD,EQ,352
166,SBIN,EQ,1234
167,SELAN,EQ,10
168,SERVOTECH,EQ,1920
169,SETF10GILT,EQ,8
170,SETFNN50,EQ,72
171,SHAKTIPUMP,EQ,181
172,SHRIRAMFIN,EQ,10
173,SIGNATURE,EQ,3
174,SILVERADD,EQ,18
175,SJLOGISTIC,SM,500
176,SKIPPER,EQ,10
177,SMARTLINK,EQ,69457
178,SOLEX,SM,400
179,SPENCERS,EQ,100
180,SRF,EQ,4
181,SUPREMEENG,EQ,377612
182,SYNGENE,EQ,4
183,TAKE,EQ,953
184,TASTYBITE,EQ,2
185,TATACHEM,EQ,136
186,TATACONSUM,EQ,5
187,TCS,EQ,25
188,TECHLABS,SM,500
189,TEXMOPIPES,EQ,300
190,TIRUMALCHM,EQ,250
191,UCOBANK,EQ,100
192,ULTRACEMCO,EQ,2
193,UNIPARTS,EQ,50
194,UPL,EQ,50
195,VBL,EQ,4
196,VETO,EQ,1
197,VGUARD,EQ,1
198,VIKASLIFE,EQ,781
199,VINATIORGA,EQ,1
200,VISAKAIND,EQ,1000
201,VOLTAS,EQ,3
202,VSSL,EQ,3
203,VTL,EQ,41
204,WALCHANNAG,EQ,197
205,WIPRO,EQ,68
