Sr. No,Symbol,Series,Security Name,From,To
1,ARHAM,ST,ARHAM TECHNOLOGIES LIMITED,10,5
2,BAJEL,EQ,BAJEL PROJECTS LIMITED,10,5
3,BIL,BE,BHARTIYA INTERNATIONAL LIMITED,10,5
4,CADSYS,ST,CADSYS (INDIA) LIMITED,10,5
5,CALSOFT,BE,CALIFORNIA SOFTWARE COMPANY LIMITED,10,5
6,DYNAMIC,SM,DYNAMIC SERVICES & SECURITY LIMITED,10,5
7,HIRECT,EQ,HIND RECTIFIERS LIMITED,10,5
8,HOMESFY,ST,HOMESFY REALTY LIMITED,10,5
9,JSLL,ST,JEENA SIKHO LIFECARE LIMITED,10,5
10,LOKESHMACH,BE,LOKESH MACHINES LIMITED,10,5
11,MANORAMA,BE,MANORAMA INDUSTRIES LIMITED,10,5
12,RAMCOSYS,BE,RAMCO SYSTEMS LIMITED,10,5
13,SECMARK,BE,SECMARK CONSULTANCY LIMITED,10,5
14,SHEETAL,ST,SHEETAL UNIVERSAL LIMITED,10,5
15,AGARWALFT,ST,AGARWAL FLOAT GLASS INDIA LIMITED,20,5
16,ATAM,BE,ATAM VALVES LIMITED,20,5
17,CPS,ST,C P S SHAPERS LIMITED,20,5
18,DJML,BE,DJ MEDIAPRINT & LOGISTICS LIMITED,20,5
19,HEADSUP,BE,HEADS UP VENTURES LIMITED,20,5
20,HINDMOTORS,EQ,HINDUSTAN MOTORS LIMITED,20,10
21,KMSUGAR,EQ,K.M.SUGAR MILLS LIMITED,20,10
22,LATENTVIEW,BE,LATENT VIEW ANALYTICS LIMITED,20,5
23,MODISONLTD,BE,MODISON LIMITED,20,5
24,PARACABLES,BE,PARAMOUNT COMMUNICATIONS LIMITED,20,5
25,PATTECH,SM,PATTECH FITWELL TUBE COMPONENTS LIMITED,20,10
26,PREMEXPLN,EQ,PREMIER EXPLOSIVES LIMITED,20,10
27,SOLARA,EQ,SOLARA ACTIVE PHARMA SCIENCES LIMITED,20,10
28,TPLPLASTEH,EQ,TPL PLASTECH LIMITED,20,10
29,RADIOWALLA,SM,RADIOWALLA NETWORK LIMITED,5,20
30,RHL,BE,ROBUST HOTELS LIMITED,5,2
31,TAC,SM,TAC INFOSEC LIMITED,5,20
