Sr. No,Symbol,Series,Security Name,From,To
1,IWEL,EQ,INOX WIND ENERGY LIMITED,10,5
2,SINDHUTRAD,EQ,SINDHU TRADE LINKS LIMITED,10,5
3,BIRLAMONEY,BE,ADITYA BIRLA MONEY LIMITED,20,5
4,FOCUS,EQ,FOCUS LIGHTING AND FIXTURES LIMITED,20,10
5,NAMAN,SM,NAMAN IN-STORE (INDIA) LIMITED,20,10
6,APRAMEYA,SM,APRAMEYA ENGINEERING LIMITED,5,20
7,AUSOMENT,BE,AUSOM ENTERPRISE LIMITED,5,2
8,DCI,BE,DC INFOTECH AND COMMUNICATION LIMITED,5,2
9,DNAMEDIA,BE,DILIGENT MEDIA CORPORATION LIMITED,5,2
10,NILASPACES,BE,NILA SPACES LIMITED,5,2
11,TROM,SM,TROM INDUSTRIES LIMITED,5,20
