MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,AG,965SCL25,SEC RE NCD SR.III,      1060.56,      1125.00,      1125.00,      1125.00,      1125.00,                     9000.00,8, ,1,      1125.00,       950.20
N,AN,971SCL28,SEC RE NCD 9.71% SR.VIII,       931.00,       925.00,       925.00,       925.00,       925.00,                     4625.00,5, ,1,       994.00,       800.00
N,AX,948SCL26I,SEC RE NCD 9.48% SR V,       848.12,       873.00,       873.00,       865.00,       865.00,                     6103.00,7, ,2,      1095.00,       670.10
N,AZ,1015SCL28B,SEC RE NCD 10.15% SR VII,       899.80,      1000.00,      1000.00,      1000.00,      1000.00,                     1000.00,1, ,1,      1135.00,       804.00
N,BC,971SCL28I,SEC RE NCD 9.71% SR VIII,       880.00,       930.00,       930.00,       889.90,       889.90,                    14479.00,16, ,3,      1020.00,       820.00
N,BI,SCL25B,SEC RE NCD SR III,      1035.60,      1032.48,      1032.48,      1032.48,      1032.48,                    10324.80,10, ,1,      1080.00,       930.00
N,N0,8ABFL26,SEC RE NCD 8% SR I,      1035.10,      1035.11,      1035.11,      1035.11,      1035.11,                    10351.10,10, ,1,      1184.40,       901.00
N,N0,921ISFL25,SEC RE NCD 9.21% SR 1,       979.99,       979.99,       979.99,       979.99,       979.99,                      979.99,1, ,1,      1050.00,       933.01
N,N0,975NFL25,SEC RE NCD 9.75% SR. I,       995.00,       990.00,       996.00,       990.00,       996.00,                   526803.00,529, ,4,      1010.00,       960.49
N,N0,IMC1,SEC RE NCGB 8.25% STRPP A,       245.99,       241.57,       248.00,       241.57,       248.00,                    17946.74,74, ,4,       260.00,       241.00
N,N1,740IIFCL33,7.40% TAX FREETRI SRIII,      1171.04,      1163.00,      1394.90,      1163.00,      1394.90,                  1174995.00,1000, ,21,      1394.90,      1015.00
N,N1,79NHIT35,SEC RE NCD 7.90% STRPP A,       307.06,       307.12,       308.99,       307.12,       307.20,                   847312.51,2749, ,20,       316.90,       295.00
N,N1,872MMFSL26,8.72% UNSECURED NCD,      1021.00,      1030.00,      1030.00,      1025.00,      1025.00,                    82130.00,80, ,4,      1145.00,       972.00
N,N1,IMC1,SEC RE NCGB 8.25% STRPP B,       249.80,       249.80,       249.80,       242.00,       249.00,                   105135.59,434, ,5,       263.74,       240.00
N,N2,738REC27TF,TAXFREE SEC NCD TR1 S2,      1100.00,      1094.42,      1094.42,      1094.40,      1094.40,                   766086.00,700, ,5,      1155.00,      1041.47
