"Security Name","Symbol Name","Trade Date","Quantity"
"ICICI BANK LTD.","ICICIBANK","09-Jul-2024","483700"
"COROMANDEL INTERNTL. LTD ","COROMANDEL","09-Jul-2024","4200"
