Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,03042024,1611701829,0002399
Trade Date <03-APR-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,1,1018GS2026,GS,7107,7107,100.00
20,2,182D010824,TB,27400,26400,96.35
20,3,182D050924,TB,1300,1300,100.00
20,4,182D060624,TB,100,100,100.00
20,5,182D080824,TB,200,200,100.00
20,6,182D110724,TB,1000,800,80.00
20,7,182D120924,TB,100,100,100.00
20,8,182D130624,TB,1000,900,90.00
20,9,182D160524,TB,100,100,100.00
20,10,182D180724,TB,10200,10100,99.02
20,11,182D190924,TB,1200,700,58.33
20,12,182D200624,TB,300,200,66.67
20,13,182D220824,TB,100,100,100.00
20,14,182D230524,TB,500,500,100.00
20,15,182D250724,TB,200,200,100.00
20,16,20MICRONS,EQ,78590,29032,36.94
20,17,360ONE,EQ,609168,219764,36.08
20,18,364D071124,TB,100,100,100.00
20,19,364D130225,TB,200,200,100.00
20,20,364D200225,TB,100,100,100.00
20,21,3IINFOLTD,EQ,2166568,690914,31.89
20,22,3MINDIA,EQ,2567,1393,54.27
20,23,563GS2026,GS,1,1,100.00
20,24,574GS2026,GS,960,959,99.90
20,25,5PAISA,EQ,851142,116155,13.65
20,26,63MOONS,EQ,32834,32834,100.00
20,27,663TN35,SG,100,100,100.00
20,28,664GS2035,GS,1809,1809,100.00
20,29,667GS2050,GS,518,518,100.00
20,30,669GS2024,GS,3625,3625,100.00
20,31,676GS2061,GS,76,75,98.68
20,32,689GS2025,GS,2,2,100.00
20,33,68GS2060,GS,2,2,100.00
20,34,695GS2061,GS,1506,1506,100.00
20,35,699GS2026,GS,1000,1000,100.00
20,36,699GS2051,GS,2003,2003,100.00
20,37,706GS2028,GS,11101,10002,90.10
20,38,710GS2029,GS,30072,29088,96.73
20,39,717GS2030,GS,101,101,100.00
20,40,718GS2033,GS,19202,19202,100.00
20,41,718GS2037,GS,110994,110994,100.00
20,42,725GS2063,GS,16934,14673,86.65
20,43,726GS2032,GS,137843,137343,99.64
20,44,726GS2033,GS,1400,1400,100.00
20,45,732GS2030,GS,28340,28340,100.00
20,46,733GS2026,GS,300,300,100.00
20,47,736GS2052,GS,3,3,100.00
20,48,737GS2028,GS,3300,2900,87.88
20,49,738GS2027,GS,187087,187085,100.00
20,50,73GS2053,GS,18073,17068,94.44
20,51,746GS2073,GS,13855,13855,100.00
20,52,74GS2062,GS,1238,1238,100.00
20,53,754GS2036,GS,463652,462727,99.80
20,54,754UK33,SG,100,100,100.00
20,55,758GJ26,SG,800,800,100.00
20,56,758GJ32,SG,1300,1300,100.00
20,57,777PN36,SG,600,600,100.00
20,58,77AP38,SG,100,100,100.00
20,59,802WB37,SG,100,100,100.00
20,60,813GS2045,GS,7,7,100.00
20,61,824GS2027,GS,1000,1000,100.00
20,62,828GS2027,GS,500,500,100.00
20,63,91D020524,TB,500,500,100.00
20,64,91D090524,TB,300,200,66.67
20,65,91D110424,TB,2500,2500,100.00
20,66,91D130624,TB,200,100,50.00
20,67,91D160524,TB,1000,800,80.00
20,68,91D180424,TB,300,300,100.00
20,69,91D200624,TB,400,400,100.00
20,70,91D230524,TB,1500,1100,73.33
20,71,91D250424,TB,400,300,75.00
20,72,91D270624,TB,200,200,100.00
20,73,91D300524,TB,6300,4800,76.19
20,74,92GS2030,GS,73793,73543,99.66
20,75,AAKASH,EQ,678972,517661,76.24
20,76,AARON,EQ,8734,6171,70.65
20,77,AARTECH,EQ,7517,4188,55.71
20,78,AARTIDRUGS,EQ,258367,105789,40.95
20,79,AARTIIND,EQ,896998,285821,31.86
20,80,AARTIPHARM,EQ,156978,91420,58.24
20,81,AARTISURF,EQ,29792,11075,37.17
20,82,AARTISURF,P1,81,1,1.23
20,83,AARVEEDEN,EQ,25669,20475,79.77
20,84,AARVI,EQ,11240,7245,64.46
20,85,AATMAJ,SM,24000,20000,83.33
20,86,AAVAS,EQ,425529,369277,86.78
20,87,ABB,EQ,217760,72382,33.24
20,88,ABBOTINDIA,EQ,17085,9618,56.29
20,89,ABCAPITAL,EQ,15770069,3928519,24.91
20,90,ABCOTS,SM,6000,2000,33.33
20,91,ABFRL,EQ,11918047,5076494,42.60
20,92,ABMINTLLTD,EQ,755,439,58.15
20,93,ABSLAMC,EQ,302693,169040,55.85
20,94,ABSLBANETF,EQ,93257,77939,83.57
20,95,ABSLLIQUID,EQ,4813,2567,53.33
20,96,ABSLNN50ET,EQ,9352,3994,42.71
20,97,ACC,EQ,331703,135136,40.74
20,98,ACCELYA,EQ,35553,10835,30.48
20,99,ACCENTMIC,SM,41000,26000,63.41
20,100,ACE,EQ,610341,193980,31.78
20,101,ACEINTEG,EQ,6436,5610,87.17
20,102,ACI,EQ,313733,178151,56.78
20,103,ACL,EQ,37796,33102,87.58
20,104,ACLGATI,EQ,493952,269367,54.53
20,105,ACSAL,SM,12000,12000,100.00
20,106,ADANIENSOL,EQ,887319,330546,37.25
20,107,ADANIENT,EQ,1153109,385337,33.42
20,108,ADANIGREEN,EQ,611123,385947,63.15
20,109,ADANIPORTS,EQ,2727582,1164593,42.70
20,110,ADANIPOWER,EQ,9025796,3487795,38.64
20,111,ADFFOODS,EQ,113158,57626,50.93
20,112,ADL,EQ,1255,1249,99.52
20,113,ADORWELD,EQ,10884,5256,48.29
20,114,ADROITPP,X1,99862,99696,99.83
20,115,ADSL,EQ,775895,241778,31.16
20,116,ADVANIHOTR,EQ,1648849,519634,31.51
20,117,ADVENZYMES,EQ,187683,102548,54.64
20,118,AEGISCHEM,EQ,388868,173805,44.70
20,119,AEROFLEX,EQ,1054831,380189,36.04
20,120,AETHER,EQ,116586,81206,69.65
20,121,AFFLE,EQ,229566,104462,45.50
20,122,AGARIND,EQ,64955,44240,68.11
20,123,AGARWALFT,SM,12000,12000,100.00
20,124,AGI,EQ,101368,50884,50.20
20,125,AGNI,ST,30000,20000,66.67
20,126,AGRITECH,EQ,247531,58484,23.63
20,127,AGROPHOS,EQ,1079770,391102,36.22
20,128,AGUL,ST,8000,8000,100.00
20,129,AHL,EQ,503247,143819,28.58
20,130,AHLADA,EQ,40782,22827,55.97
20,131,AHLEAST,EQ,25562,18256,71.42
20,132,AHLUCONT,EQ,55789,28668,51.39
20,133,AIAENG,EQ,46892,38884,82.92
20,134,AILIMITED,SM,54000,42000,77.78
20,135,AIROLAM,EQ,9098,4154,45.66
20,136,AIRTELPP,E1,502230,301584,60.05
20,137,AISL,SM,13200,13200,100.00
20,138,AJANTPHARM,EQ,53410,20688,38.73
20,139,AJMERA,EQ,83756,32630,38.96
20,140,AJOONI,EQ,606863,284533,46.89
20,141,AKANKSHA,SM,254000,170000,66.93
20,142,AKG,EQ,94274,61682,65.43
20,143,AKZOINDIA,EQ,7981,5289,66.27
20,144,ALBERTDAVD,EQ,7691,6356,82.64
20,145,ALEMBICLTD,EQ,1150928,540028,46.92
20,146,ALICON,EQ,6617,4119,62.25
20,147,ALKALI,EQ,17582,10609,60.34
20,148,ALKEM,EQ,106320,74311,69.89
20,149,ALKYLAMINE,EQ,51874,24314,46.87
20,150,ALLCARGO,EQ,11860770,2145096,18.09
20,151,ALLETEC,SM,67200,44000,65.48
20,152,ALLSEC,EQ,17555,10607,60.42
20,153,ALPA,EQ,43486,28901,66.46
20,154,ALPEXSOLAR,SM,156000,86400,55.38
20,155,ALPHA,EQ,636772,534284,83.91
20,156,ALPHAETF,EQ,130668,85689,65.58
20,157,ALPHAGEO,EQ,30436,18256,59.98
20,158,ALPL30IETF,EQ,106905,85932,80.38
20,159,AMBANIORG,SM,4000,1000,25.00
20,160,AMBER,EQ,127670,59181,46.35
20,161,AMBICAAGAR,EQ,82190,46050,56.03
20,162,AMBIKCO,EQ,8306,4306,51.84
20,163,AMBUJACEM,EQ,4389047,2322845,52.92
20,164,AMDIND,EQ,113232,79783,70.46
20,165,AMIABLE,SM,1600,1600,100.00
20,166,AMIORG,EQ,121173,53879,44.46
20,167,AMJLAND,EQ,33350,21266,63.77
20,168,AMNPLST,EQ,22267,12450,55.91
20,169,AMRUTANJAN,EQ,49380,30982,62.74
20,170,ANANDRATHI,EQ,87590,44415,50.71
20,171,ANANTRAJ,EQ,710163,327481,46.11
20,172,ANDHRAPAP,EQ,141238,51902,36.75
20,173,ANDHRSUGAR,EQ,674791,327781,48.58
20,174,ANGELONE,EQ,663984,237065,35.70
20,175,ANIKINDS,EQ,12975,10914,84.12
20,176,ANKITMETAL,EQ,80314,80304,99.99
20,177,ANLON,SM,400,400,100.00
20,178,ANMOL,EQ,384362,199484,51.90
20,179,ANNAPURNA,SM,35500,19500,54.93
20,180,ANUP,EQ,21477,11520,53.64
20,181,ANURAS,EQ,1004668,202950,20.20
20,182,APARINDS,EQ,96488,31483,32.63
20,183,APCL,EQ,41848,19781,47.27
20,184,APCOTEXIND,EQ,99023,47336,47.80
20,185,APEX,EQ,124811,57642,46.18
20,186,APLAPOLLO,EQ,566075,297413,52.54
20,187,APLLTD,EQ,76837,33581,43.70
20,188,APOLLO,EQ,2911980,1926510,66.16
20,189,APOLLOHOSP,EQ,289202,140012,48.41
