Sr. No,Symbol,Series,Security Name,From,To
1,ATMASTCO,SM,ATMASTCO LIMITED,10,5
2,ORIANA,SM,ORIANA POWER LIMITED,10,5
3,UNIVASTU,BE,UNIVASTU INDIA LIMITED,10,5
4,ACCURACY,BE,ACCURACY SHIPPING LIMITED,2,5
5,ALANKIT,BE,ALANKIT LIMITED,2,5
6,ASIANHOTNR,BE,ASIAN HOTELS (NORTH) LIMITED,2,5
7,BVCL,BE,BARAK VALLEY CEMENTS LIMITED,2,5
8,DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,2,5
9,DNAMEDIA,BE,DILIGENT MEDIA CORPORATION LIMITED,2,5
10,IL&FSENGG,BZ,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LIMITED,2,5
11,PRITIKAUTO,BE,PRITIKA AUTO INDUSTRIES LIMITED,2,5
12,REGENCERAM,BE,REGENCY CERAMICS LIMITED,2,5
13,SALSTEEL,BE,S.A.L. STEEL LIMITED,2,5
14,SAMPANN,BE,SAMPANN UTPADAN INDIA LIMITED,2,5
15,SOMICONVEY,BE,SOMI CONVEYOR BELTINGS LIMITED,2,5
16,NEWGEN,EQ,NEWGEN SOFTWARE TECHNOLOGIES LIMITED,20,10
17,TCL,SM,THAAI CASTING LIMITED,20,10
18,AARTECH,BE,AARTECH SOLONICS LIMITED,5,2
19,HINDCON,BE,HINDCON CHEMICALS LIMITED,5,2
20,MHLXMIRU,EQ,MAHALAXMI RUBTECH LIMITED,5,20
