Sr. No,Symbol,Series,Security Name,From,To
1,ALMONDZ,EQ,ALMONDZ GLOBAL SECURITIES LIMITED,10,5
2,DREDGECORP,EQ,DREDGING CORPORATION OF INDIA LIMITED,10,5
3,HECPROJECT,EQ,HEC INFRA PROJECTS LIMITED,10,5
4,NOIDATOLL,BE,NOIDA TOLL BRIDGE COMPANY LIMITED,10,5
5,ORIENTLTD,EQ,ORIENT PRESS LIMITED,10,5
6,RPOWER,EQ,RELIANCE POWER LIMITED,10,5
7,KORE,SM,JAY JALARAM TECHNOLOGIES LIMITED,20,10
8,KRITI,EQ,KRITI INDUSTRIES (INDIA) LIMITED,20,10
9,OMINFRAL,EQ,OM INFRA LIMITED,20,10
10,PANACHE,EQ,PANACHE DIGILIFE LIMITED,20,10
11,PREMEXPLN,EQ,PREMIER EXPLOSIVES LIMITED,20,10
12,SANOFI,BE,SANOFI INDIA LIMITED,20,5
13,SHREEKARNI,SM,SHREE KARNI FABCOM LIMITED,20,10
14,ARCHIDPLY,BE,ARCHIDPLY INDUSTRIES LIMITED,5,2
15,CUBEXTUB,BE,CUBEX TUBINGS LIMITED,5,2
16,ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,5,2
17,ELGIRUBCO,BE,ELGI RUBBER COMPANY LIMITED,5,2
18,GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,5,2
19,ONELIFECAP,BE,ONELIFE CAPITAL ADVISORS LIMITED,5,2
20,PALREDTEC,BE,PALRED TECHNOLOGIES LIMITED,5,2
21,PRAXIS,BE,PRAXIS HOME RETAIL LIMITED,5,2
