"Security Name","Symbol Name","Trade Date","Quantity"
"UFLEX LIMITED","UFLEX","28-Aug-2024","247"
"NHPC LTD","NHPC","28-Aug-2024","400"
"THE SOUTH INDIAN BANK LTD","SOUTHBANK","28-Aug-2024","1"
"OBEROI REALTY LIMITED","OBEROIRLTY","28-Aug-2024","24"
"PI INDUSTRIES LTD        ","PIIND","28-Aug-2024","22"
"EICHER MOTORS LIMITED","EICHERMOT","28-Aug-2024","64925"
"DATAMATICS GLOBAL SER LTD","DATAMATICS","28-Aug-2024","2450"
