Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,28082024,1865492645,0002491
Trade Date <28-AUG-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2095,SIGNPOST,EQ,56973,32941,57.82
20,2096,SILGO,EQ,82838,53362,64.42
20,2097,SILINV,EQ,20627,9305,45.11
20,2098,SILKFLEX,SM,6000,6000,100.00
20,2099,SILVER,EQ,46409,32047,69.05
20,2100,SILVER1,EQ,99325,94740,95.38
20,2101,SILVERADD,EQ,641462,635577,99.08
20,2102,SILVERBEES,EQ,8329652,6522734,78.31
20,2103,SILVERETF,EQ,124270,100148,80.59
20,2104,SILVERIETF,EQ,1450147,1342552,92.58
20,2105,SILVERTUC,EQ,25193,7823,31.05
20,2106,SILVRETF,EQ,25021,24142,96.49
20,2107,SIMPLEXINF,EQ,414600,282574,68.16
20,2108,SINCLAIR,EQ,42187,23222,55.05
20,2109,SINDHUTRAD,EQ,907484,664716,73.25
20,2110,SINTERCOM,EQ,7597,3966,52.20
20,2111,SIRCA,EQ,67684,34668,51.22
20,2112,SIS,EQ,176942,107182,60.57
20,2113,SIYSIL,EQ,56016,30861,55.09
20,2114,SJLOGISTIC,SM,40000,27500,68.75
20,2115,SJS,EQ,75913,36396,47.94
20,2116,SJVN,EQ,7422106,2651412,35.72
20,2117,SKFINDIA,EQ,94641,79894,84.42
20,2118,SKIPPER,EQ,544967,252802,46.39
20,2119,SKIPPERPP,E1,4006,3313,82.70
20,2120,SKMEGGPROD,EQ,359483,151276,42.08
20,2121,SKP,SM,13500,12000,88.89
20,2122,SLONE,ST,52800,51200,96.97
20,2123,SMALLCAP,EQ,566053,472438,83.46
20,2124,SMCGLOBAL,EQ,211958,119175,56.23
20,2125,SMLISUZU,EQ,11752,6812,57.96
20,2126,SMLT,EQ,16460,7997,48.58
20,2127,SMSPHARMA,EQ,173254,64065,36.98
20,2128,SNOWMAN,EQ,2769188,876725,31.66
20,2129,SOBHA,EQ,75043,28712,38.26
20,2130,SOBHAPP,E1,31814,31456,98.87
20,2131,SOFTTECH,EQ,16413,10480,63.85
20,2132,SOLARAPP,X1,4346,3106,71.47
20,2133,SOLARINDS,EQ,32638,16000,49.02
20,2134,SOLEX,SM,12400,9600,77.42
20,2135,SOMANYCERA,EQ,15976,9012,56.41
20,2136,SOMATEX,EQ,112578,59731,53.06
20,2137,SONACOMS,EQ,1089403,583327,53.55
20,2138,SONAMAC,SM,42000,33000,78.57
20,2139,SONAMLTD,EQ,123848,41952,33.87
20,2140,SONATSOFTW,EQ,1118337,433283,38.74
20,2141,SONUINFRA,ST,15000,15000,100.00
20,2142,SOTL,EQ,43657,20324,46.55
20,2143,SOUTHBANK,EQ,7707127,3826356,49.65
20,2144,SOUTHWEST,EQ,196429,111410,56.72
20,2145,SPAL,EQ,13028,7150,54.88
20,2146,SPANDANA,EQ,152921,79862,52.22
20,2147,SPARC,EQ,510749,257484,50.41
20,2148,SPCENET,EQ,2188253,1566877,71.60
20,2149,SPCL,SM,122400,96000,78.43
20,2150,SPECIALITY,EQ,93011,42255,45.43
20,2151,SPECTRUM,SM,24500,21375,87.24
20,2152,SPECTSTM,SM,15200,11200,73.68
20,2153,SPENCERS,EQ,2195510,821354,37.41
20,2154,SPIC,EQ,1344617,458408,34.09
20,2155,SPLIL,EQ,74338,24587,33.07
20,2156,SPLPETRO,EQ,36539,20285,55.52
20,2157,SPORTKING,EQ,58206,28312,48.64
20,2158,SPRL,ST,800,800,100.00
20,2159,SREEL,EQ,8637,4654,53.88
20,2160,SRF,EQ,362347,218208,60.22
20,2161,SRGHFL,EQ,2406,1324,55.03
20,2162,SRHHYPOLTD,EQ,28301,17721,62.62
20,2163,SRIVASAVI,SM,10000,6000,60.00
20,2164,SRPL,EQ,1104138,986123,89.31
20,2165,SSEGL,SM,743000,249000,33.51
20,2166,SSFL,SM,14000,9500,67.86
20,2167,SSWL,EQ,206074,105335,51.12
20,2168,STANLEY,EQ,227552,133652,58.73
20,2169,STAR,EQ,176829,103635,58.61
20,2170,STARCEMENT,EQ,232369,107879,46.43
20,2171,STARHEALTH,EQ,1708553,760626,44.52
20,2172,STARPAPER,EQ,36065,19679,54.57
20,2173,STCINDIA,EQ,300477,80002,26.62
20,2174,STEELCAS,EQ,22410,15104,67.40
20,2175,STEELCITY,EQ,11219,7465,66.54
20,2176,STEELXIND,EQ,5510572,3089478,56.06
20,2177,STERTOOLS,EQ,153942,90227,58.61
20,2178,STLTECH,EQ,2165611,1188580,54.88
20,2179,STOVEKRAFT,EQ,138638,59900,43.21
20,2180,STYLAMIND,EQ,14794,8863,59.91
20,2181,STYRENIX,EQ,36292,17376,47.88
20,2182,SUBEXLTD,EQ,9646596,3232343,33.51
20,2183,SUBROS,EQ,248089,78248,31.54
20,2184,SUDARSCHEM,EQ,144848,80253,55.40
20,2185,SUKHJITS,EQ,6619,4496,67.93
20,2186,SULA,EQ,215409,127705,59.28
20,2187,SUMICHEM,EQ,480407,169650,35.31
20,2188,SUMMITSEC,EQ,85665,16424,19.17
20,2189,SUNCLAY,EQ,18367,15822,86.14
20,2190,SUNDARMFIN,EQ,77931,40363,51.79
20,2191,SUNDARMHLD,EQ,322335,142429,44.19
20,2192,SUNDRMBRAK,EQ,9882,7534,76.24
20,2193,SUNDRMFAST,EQ,71597,38416,53.66
20,2194,SUNFLAG,EQ,211823,110667,52.25
20,2195,SUNLITE,ST,265200,244800,92.31
20,2196,SUNPHARMA,EQ,1768949,1023805,57.88
20,2197,SUNTECK,EQ,299665,168679,56.29
20,2198,SUNTV,EQ,877123,291831,33.27
20,2199,SUPERHOUSE,EQ,22664,14269,62.96
20,2200,SUPERSPIN,EQ,827436,527151,63.71
20,2201,SUPRAJIT,EQ,260050,152249,58.55
20,2202,SUPREMEIND,EQ,65931,34136,51.78
20,2203,SUPREMEPWR,ST,68000,64000,94.12
20,2204,SUPRIYA,EQ,222861,90000,40.38
