Confirmed list of securities to be auctioned in A 2024161 to be held on Aug 28 2024.

Sr No,Symbol,Series,Total Qty
208,SHREECEM,EQ,29
209,SHRIRAMFIN,EQ,8100
210,SHRIRAMPPS,EQ,2
211,SIMPLEXINF,EQ,4520
212,SJVN,EQ,3
213,SOUTHBANK,EQ,1
214,SPENCERS,EQ,25
215,SUBROS,EQ,1
216,SUNDRMBRAK,EQ,12
217,SUNPHARMA,EQ,292
218,SUPERSPIN,EQ,327
219,SUPRIYA,EQ,30
220,SUVEN,EQ,100
221,SYMPHONY,EQ,1
222,SYNCOMF,EQ,28
223,TATACHEM,EQ,298
224,TATAELXSI,EQ,25
225,TATAINVEST,EQ,1896
226,TATAMTRDVR,EQ,100
227,TATAPOWER,EQ,10
228,TATATECH,EQ,10
229,TATVA,EQ,400
230,TBZ,EQ,50
231,TEGA,EQ,9
232,TEJASNET,EQ,5
233,TEXINFRA,EQ,7644
234,THANGAMAYL,EQ,40
235,TIDEWATER,EQ,20
236,TITAGARH,EQ,50
237,TITAN,EQ,5250
238,TREJHARA,EQ,314
239,TRF,EQ,108
240,TRIDENT,EQ,10
241,TRIVENI,EQ,3
242,TTKPRESTIG,EQ,80
243,UCAL,EQ,3193
244,UDS,EQ,12
245,UMAEXPORTS,EQ,1085
246,UNIONBANK,EQ,290
247,UNIPARTS,EQ,748
248,UTTAMSUGAR,EQ,1000
249,VEDL,EQ,50
250,VGUARD,EQ,1
251,VLSFINANCE,EQ,25
252,VOLTAMP,EQ,1
253,VOLTAS,EQ,1
254,WALCHANNAG,EQ,91
255,WANBURY,EQ,703
256,WELSPUNLIV,EQ,14938
257,WINDMACHIN,EQ,10
258,WIPRO,EQ,500
259,XCHANGING,EQ,1000
260,ZAGGLE,EQ,1
261,ZEEL,EQ,50
