2.50%GOLDBONDS2028SR-II       ,SGBMAY28  ,GB,N,0007515.21,0007515.21,0007528.00,0007490.00,0007519.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007519.00
2.50%GOLDBONDS2028SR-IV       ,SGBJUL28IV,GB,N,0007534.69,0007533.99,0007539.99,0007510.00,0007538.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007538.99
2.50%GOLDBONDS2028SR-IX       ,SGBFEB28IX,GB,N,0007579.00,0007510.00,0007550.00,0007510.00,0007550.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007550.00
2.50%GOLDBONDS2028SR-V        ,SGBAUG28V ,GB,N,0007629.14,0007629.13,0007629.13,0007601.11,0007613.46,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007610.00
2.50%GOLDBONDS2028SR-VI       ,SGBSEP28VI,GB,N,0007567.30,0007567.30,0007690.00,0007567.30,0007675.55,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007690.00
2.50%GOLDBONDS2028SR-VII      ,SGBOC28VII,GB,N,0007529.38,0007500.51,0007570.00,0007500.51,0007530.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007530.00
2.50%GOLDBONDS2028SR-VIII     ,SGBJ28VIII,GB,N,0007520.00,0007420.00,0007545.00,0007420.00,0007545.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007545.00
2.50%GOLDBONDS2028SR-X        ,SGBMAR28X ,GB,N,0007518.84,0007530.00,0007598.99,0007485.12,0007485.12,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007485.12
2.50%GOLDBONDS2029SR-IV       ,SGBJUL29IV,GB,N,0007515.00,0007520.00,0007596.99,0007505.00,0007550.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007550.00
2.50%GOLDBONDS2029SR-IX       ,SGBJAN29IX,GB,N,0007575.00,0007575.00,0007590.00,0007537.01,0007588.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007588.00
2.50%GOLDBONDS2029SR-V        ,SGBAUG29V ,GB,N,0007577.81,0007577.81,0007600.00,0007561.00,0007589.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007561.00
2.50%GOLDBONDS2029SR-VIII     ,SGBD29VIII,GB,N,0007560.19,0007569.00,0007600.00,0007505.00,0007550.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007550.00
2.50%GOLDBONDS2029SR-X        ,SGBJAN29X ,GB,N,0007517.84,0007565.00,0007565.00,0007520.00,0007553.50,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007553.50
2.50%GOLDBONDS2029SR-XI       ,SGBFEB29XI,GB,N,0007538.32,0007538.00,0007549.99,0007482.00,0007548.99,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007548.99
2.50%GOLDBONDS2029SR-XII      ,SGBMR29XII,GB,N,0007523.99,0007523.99,0007548.00,0007501.00,0007542.11,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007530.00
2.50%GOLDBONDS2030SR-I        ,SGBJUN30  ,GB,N,0007768.80,0007768.80,0007789.00,0007622.00,0007689.41,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007690.00
2.50%GOLDBONDS2030SR-II       ,SGBAUG30  ,GB,N,0007877.59,0007884.70,0007945.00,0007880.00,0007900.42,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007924.99
2.50%GOLDBONDS2030SR-III      ,SGBDE30III,GB,N,0007939.99,0007950.00,0008069.99,0007850.99,0007915.14,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007909.00
2.50%GOLDBONDS2030SR-IX       ,SGBJAN30IX,GB,N,0007548.14,0007551.00,0007697.70,0007551.00,0007621.66,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007630.00
2.50%GOLDBONDS2030SR-X        ,SGBMAR30X ,GB,N,0007651.86,0007650.00,0007700.00,0007650.00,0007650.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007650.00
2.50%GOLDBONDS2031SR-I        ,SGBJUN31I ,GB,N,0007876.73,0007890.00,0007920.00,0007880.00,0007912.51,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007912.00
2.50%GOLDBONDS2031SR-II       ,SGBSEP31II,GB,N,0007921.16,0008000.90,0008000.90,0007835.00,0007852.85,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007885.01
2.50%GOLDBONDS2031SR-III      ,SGBDE31III,GB,N,0007968.02,0007950.02,0007975.00,0007950.00,0007956.61,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007960.00
2.50%GOLDBONDS2031SR-IV       ,SGBMAR31IV,GB,N,0007850.00,0007880.00,0008000.00,0007851.50,0007878.33,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007895.00
2.50%GOLDBONDS2032SR-IV       ,SGBFEB32IV,GB,N,0008083.61,0008080.00,0008099.00,0008010.00,0008041.86,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0008072.00
2.75% GOLDBONDS2024TR-V       ,SGBSEP24  ,GB,N,0007225.00,0007235.00,0007269.99,0007235.00,0007247.09,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0007240.00
20 MICRONS LTD                ,20MICRONS ,EQ,N,0000330.15,0000332.30,0000332.70,0000321.55,0000324.00,    ,              ,                  ,0000000.00,0000000.00,28-AUG-2024,        ,0000325.25
