MARKET,SERIES,SYMBOL,SECURITY,PREV_CL_PR,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,NET_TRDVAL,NET_TRDQTY,CORP_IND,TRADES,HI_52_WK,LO_52_WK
N,ND,876HUDCO28,8.76% TAX FREETRI SR2B,      1181.00,      1182.00,      1182.00,      1182.00,      1182.00,                    29550.00,25, ,1,      1231.99,      1080.00
N,ND,970CAGL28,SEC RE NCD 9.70% SR VII,      1019.00,      1003.60,      1016.00,      1003.60,      1016.00,                   214252.00,211, ,3,      1045.00,       835.00
N,NE,10IIFL28A,UNSE RE NCD 10% SR.I,       946.00,       946.00,       959.99,       945.00,       953.00,                   646964.49,679, ,7,      1080.00,       906.00
N,NE,769NHAI31,TAX FREE 7.69% SR. IIB,      1167.51,      1179.90,      1179.90,      1172.00,      1174.68,                   476287.90,405, ,11,      1205.90,      1128.00
N,NE,888IRFC29,BOND 8.88% PA TF TII-SIIB,      1165.50,      1165.50,      1165.50,      1165.50,      1165.50,                   757575.00,650, ,4,      1260.00,      1141.50
N,NE,901HUDCO34,9.01% TAX FREETRII SR3B,      1313.39,      1320.00,      1320.00,      1310.50,      1310.96,                  1447908.00,1103, ,23,      1399.00,      1261.00
N,NE,915SCL26,UNS RED NCD 9.15% SR.IX,       991.82,       991.82,       991.82,       991.82,       991.82,                      991.82,1, ,1,      1030.00,       881.10
N,NE,IIFLHF29,SEC RE NCD 0% SR.VIII,      1065.29,      1065.29,      1065.29,      1065.29,      1065.29,                   411201.94,386, ,1,      1267.20,       958.00
N,NF,905LTF27,SERENCD 9.05% SR.VI OPII,      1051.00,      1050.00,      1050.00,      1050.00,      1050.00,                    31500.00,30, ,1,      1119.80,      1001.00
N,NF,96IIFL28A,UNSE RE NCD 9.6% SR.II,       934.99,       932.00,       934.00,       926.10,       932.00,                   840801.20,902, ,23,      1051.00,       906.50
N,NG,IIFLZC28,UNSE RE NCD 0% SR.III,      1206.00,      1206.01,      1206.01,      1206.00,      1206.00,                   120600.30,100, ,2,      1270.00,      1102.15
