Sr. No,Symbol,Series,Security Name,From,To
1,BMETRICS,SM,BOMBAY METRICS SUPPLY CHAIN LIMITED,10,5
2,MIRCELECTR,EQ,MIRC ELECTRONICS LIMITED,10,5
3,WIPL,BE,THE WESTERN INDIA PLYWOODS LIMITED,10,5
4,ARCHIDPLY,BE,ARCHIDPLY INDUSTRIES LIMITED,20,5
5,AURUM,BE,AURUM PROPTECH LIMITED,20,5
6,AURUMPP1,X1,AURUM PROPTECH LIMITED,20,5
7,DIGIDRIVE,BE,DIGIDRIVE DISTRIBUTORS LIMITED,20,5
8,KTL,SM,KALAHRIDHAAN TRENDZ LIMITED,20,10
9,MACOBSTECH,SM,MACOBS TECHNOLOGIES LIMITED,20,10
10,MAHAPEXLTD,BE,MAHA RASHTRA APEX CORPORATION LIMITED,20,5
11,SATECH,SM,S A TECH SOFTWARE INDIA LIMITED,20,10
12,TASTYBITE,EQ,TASTY BITE EATABLES LIMITED,20,10
13,TOUCHWOOD,BE,TOUCHWOOD ENTERTAINMENT LIMITED,20,5
14,A2ZINFRA,BE,A2Z INFRA ENGINEERING LIMITED,5,2
15,ALPSINDUS,BE,ALPS INDUSTRIES LIMITED,5,2
16,BLBLIMITED,BE,BLB LIMITED,5,2
17,BTML,BE,BODHI TREE MULTIMEDIA LIMITED,5,2
18,NAGREEKCAP,BE,NAGREEKA CAPITAL & INFRASTRUCTURE LIMITED,5,2
19,SUMIT,BE,SUMIT WOODS LIMITED,5,2
20,UTSSAV,SM,UTSSAV CZ GOLD JEWELS LIMITED,5,20
