Sr. No,Symbol,Series,Security Name,From,To
1,EFFWA,SM,EFFWA INFRA & RESEARCH LIMITED,10,5
2,INDSWFTLTD,EQ,IND-SWIFT LIMITED,10,5
3,PARSVNATH,EQ,PARSVNATH DEVELOPERS LIMITED,10,5
4,TPLPLASTEH,EQ,TPL PLASTECH LIMITED,10,5
5,FIBERWEB,EQ,FIBERWEB (INDIA) LIMITED,20,10
6,ATLANTAA,BE,ATLANTAA LIMITED,5,2
7,AVONMORE,BE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED,5,2
8,CROWN,BE,CROWN LIFTERS LIMITED,5,2
9,GVKPIL,BE,GVK POWER & INFRASTRUCTURE LIMITED,5,2
10,OILCOUNTUB,BE,OIL COUNTRY TUBULAR LIMITED,5,2
11,PRAKASHSTL,BE,PRAKASH STEELAGE LIMITED,5,2
12,SUMEETINDS,BE,SUMEET INDUSTRIES LIMITED,5,2
13,TAINWALCHM,BE,TAINWALA CHEMICAL AND PLASTIC (I) LIMITED,5,2
14,ZENITHSTL,BE,ZENITH STEEL PIPES & INDUSTRIES LIMITED,5,2
