Symbol,Security,From Series,To Series,Change Date,Remarks
APOLLO,APOLLO MICRO SYSTEMS LIMITED,BE,EQ,13-MAY-2024,"-"
ASMS,BARTRONICS INDIA LIMITED,BE,EQ,13-MAY-2024,"-"
BALKRISHNA,BALKRISHNA PAPER MILLS LIMITED,BE,EQ,13-MAY-2024,"-"
CORDSCABLE,CORDS CABLE INDUSTRIES LIMITED,BE,EQ,13-MAY-2024,"-"
DBCORP,D.B.CORP LIMITED,BE,EQ,13-MAY-2024,"-"
GAYAHWS,GAYATRI HIGHWAYS LIMITED,BE,EQ,13-MAY-2024,"GSM STAGE - I"
GVKPIL,GVK POWER & INFRASTRUCTURE LIMITED,BE,EQ,13-MAY-2024,"-"
INTENTECH,INTENSE TECHNOLOGIES LIMITED,BE,EQ,13-MAY-2024,"-"
LAL,LORENZINI APPARELS LIMITED,BE,EQ,13-MAY-2024,"-"
MACPOWER,MACPOWER CNC MACHINES LIMITED,BE,EQ,13-MAY-2024,"-"
MAHASTEEL,MAHAMAYA STEEL INDUSTRIES LIMITED,BE,EQ,13-MAY-2024,"-"
MANINDS,MAN INDUSTRIES (INDIA) LIMITED,BE,EQ,13-MAY-2024,"-"
RADAAN,RADAAN MEDIAWORKS INDIA LIMITED,BE,EQ,13-MAY-2024,"GSM STAGE - I"
RTNPOWER,RATTANINDIA POWER LIMITED,BE,EQ,13-MAY-2024,"-"
SHAKTIPUMP,SHAKTI PUMPS (INDIA) LIMITED,BE,EQ,13-MAY-2024,"-"
SUPREMEENG,SUPREME ENGINEERING LIMITED,BE,EQ,13-MAY-2024,"GSM STAGE - I"
SUVIDHAA,SUVIDHAA INFOSERVE LIMITED,BE,EQ,13-MAY-2024,"-"
TFL,TRANSWARRANTY FINANCE LIMITED,EQ,BE,13-MAY-2024,"-"
WALCHANNAG,WALCHANDNAGAR INDUSTRIES LIMITED,BE,EQ,13-MAY-2024,"-"
