"Security Name","Symbol Name","Trade Date","Quantity"
"SUZLON ENERGY LIMITED","SUZLON","11-Sep-2024","1620"
"GARDEN REACH SHIP&ENG LTD","GRSE","11-Sep-2024","108"
"VARDHMAN TEXTILES LIMITED    ","VTL","11-Sep-2024","155"
"TITAN INDUSTRIES LTD","TITAN","11-Sep-2024","22"
"NOCIL LIMITED            ","NOCIL","11-Sep-2024","333"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","11-Sep-2024","20"
"APOLLO TYRES LTD","APOLLOTYRE","11-Sep-2024","106"
"TATA MOTORS LIMITED","TATAMOTORS","11-Sep-2024","499950"
"BAJAJ CONSUMER CARE LTD","BAJAJCON","11-Sep-2024","333"
"AETHER INDUSTRIES LIMITED","AETHER","11-Sep-2024","50"
"AU SMALL FINANCE BANK LIMITED","AUBANK","11-Sep-2024","10"
"HCL TECHNOLOGIES LTD","HCLTECH","11-Sep-2024","25"
"GMR INFRASTRUCTURE LTD.","GMRINFRA","11-Sep-2024","2"
"LARSEN & TOUBRO LTD.","LT","11-Sep-2024","20"
"INDIAN OIL CORP LTD","IOC","11-Sep-2024","4"
"ICICI BANK LTD.","ICICIBANK","11-Sep-2024","135115"
"RELIANCE INDUSTRIES LTD","RELIANCE","11-Sep-2024","55"
"BHARTI AIRTEL LIMITED","BHARTIARTL","11-Sep-2024","32"
