"Security Name","Symbol Name","Trade Date","Quantity"
"COCHIN SHIPYARD LIMITED","COCHINSHIP","04-Jul-2024","26"
"MAZAGON DOCK SHIPBUIL LTD","MAZDOCK","04-Jul-2024","1"
"SAMVRDHNA MTHRSN INT","MOTHERSON","04-Jul-2024","674500"
"ASIAN PAINTS LIMITED","ASIANPAINT","04-Jul-2024","44600"
"COFORGE LIMITED","COFORGE","04-Jul-2024","6000"
"BOSCH LIMITED","BOSCHLTD","04-Jul-2024","437"
