Sr. No,Symbol,Series,Security Name,From,To
1,MANAKALUCO,EQ,MANAKSIA ALUMINIUM COMPANY LIMITED,10,5
2,MCLEODRUSS,EQ,MCLEOD RUSSEL INDIA LIMITED,10,5
3,PCJEWELLER,EQ,PC JEWELLER LIMITED,10,5
4,SHREEKARNI,SM,SHREE KARNI FABCOM LIMITED,10,5
5,YUKEN,EQ,YUKEN INDIA LIMITED,10,5
6,GEPIL,EQ,GE POWER INDIA LIMITED,20,10
7,OLIL,SM,ONECLICK LOGISTICS INDIA LIMITED,20,10
8,RAYMOND,BE,RAYMOND LIMITED,20,5
9,RVNL,EQ,RAIL VIKAS NIGAM LIMITED,20,10
10,BURNPUR,BE,BURNPUR CEMENT LIMITED,5,2
11,NARMADA,BE,NARMADA AGROBASE LIMITED,5,2
12,WINNY,SM,WINNY IMMIGRATION & EDUCATION SERVICES LIMITED,5,20
