Sr. No,Symbol,Series,Security Name,From,To
1,AKUMS,EQ,AKUMS DRUGS AND PHARMACEUTICALS LIMITED,10,5
2,FOCUS,BE,FOCUS LIGHTING AND FIXTURES LIMITED,10,5
3,ISHAN,SM,ISHAN INTERNATIONAL LIMITED,10,5
4,UNIVASTU,EQ,UNIVASTU INDIA LIMITED,10,5
5,ASTRON,BE,ASTRON PAPER & BOARD MILL LIMITED,2,5
6,BANKA,BE,BANKA BIOLOO LIMITED,2,5
7,BGRENERGY,BE,BGR ENERGY SYSTEMS LIMITED,2,5
8,BRNL,BE,BHARAT ROAD NETWORK LIMITED,2,5
9,BURNPUR,BE,BURNPUR CEMENT LIMITED,2,5
10,DHRUV,BE,DHRUV CONSULTANCY SERVICES LIMITED,2,5
11,GLFL,BE,GUJARAT LEASE FINANCING LIMITED,2,5
12,ICDSLTD,BE,ICDS LIMITED,2,5
13,IL&FSTRANS,BZ,IL&FS TRANSPORTATION NETWORKS LIMITED,2,5
14,NARMADA,BE,NARMADA AGROBASE LIMITED,2,5
15,PANACHE,BE,PANACHE DIGILIFE LIMITED,2,5
16,SABEVENTS,BE,SAB EVENTS & GOVERNANCE NOW MEDIA LIMITED,2,5
17,SMARTLINK,BE,SMARTLINK HOLDINGS LIMITED,2,5
18,SUPREMEINF,BZ,SUPREME INFRASTRUCTURE INDIA LIMITED,2,5
19,VIVIDHA,BE,VISAGAR POLYTEX LIMITED,2,5
20,INDSWFTLAB,BE,IND-SWIFT LABORATORIES LIMITED,20,5
21,OLAELEC,EQ,OLA ELECTRIC MOBILITY LIMITED,20,10
22,VINNY,EQ,VINNY OVERSEAS LIMITED,20,10
23,AJMERA,EQ,AJMERA REALTY & INFRA INDIA LIMITED,5,20
24,ESPRIT,SM,ESPRIT STONES LIMITED,5,20
25,MRO-TEK,EQ,MRO-TEK REALTY LIMITED,5,10
26,PEARLPOLY,EQ,PEARL POLYMERS LIMITED,5,20
27,SATECH,SM,S A TECH SOFTWARE INDIA LIMITED,5,20
