Sr. No,Symbol,Series,Security Name,From,To
1,ANTGRAPHIC,EQ,ANTARCTICA LIMITED,10,5
2,PANSARI,EQ,PANSARI DEVELOPERS LIMITED,10,5
3,AARTECH,BE,AARTECH SOLONICS LIMITED,2,5
4,ATALREAL,BE,ATAL REALTECH LIMITED,2,5
5,DELPHIFX,BE,DELPHI WORLD MONEY LIMITED,2,5
6,DIACABS,BE,DIAMOND POWER INFRASTRUCTURE LIMITED,2,5
7,DIGIDRIVE,BE,DIGIDRIVE DISTRIBUTORS LIMITED,2,5
8,ESSENTIA,BE,INTEGRA ESSENTIA LIMITED,2,5
9,MEP,BE,MEP INFRASTRUCTURE DEVELOPERS LIMITED,2,5
10,OMAXAUTO,BE,OMAX AUTOS LIMITED,2,5
11,RHFL,BE,RELIANCE HOME FINANCE LIMITED,2,5
12,SHYAMTEL,BE,SHYAM TELECOM LIMITED,2,5
13,TARAPUR,BE,TARAPUR TRANSFORMERS LIMITED,2,5
14,TCIFINANCE,BE,TCI FINANCE LIMITED,2,5
15,TFL,BE,TRANSWARRANTY FINANCE LIMITED,2,5
16,THOMASCOTT,BE,THOMAS SCOTT (INDIA) LIMITED,2,5
17,TIL,BZ,TIL LIMITED,2,5
18,TNTELE,BE,TAMILNADU TELECOMMUNICATION LIMITED,2,5
19,TREJHARA,BE,TREJHARA SOLUTIONS LIMITED,2,5
20,ZEELEARN,BE,ZEE LEARN LIMITED,2,5
21,ZENITHEXPO,BE,ZENITH EXPORTS LIMITED,2,5
22,AWHCL,EQ,ANTONY WASTE HANDLING CELL LIMITED,20,10
23,PGEL,EQ,PG ELECTROPLAST LIMITED,20,10
24,EFFWA,SM,EFFWA INFRA & RESEARCH LIMITED,5,10
25,GGBL,SM,GANESH GREEN BHARAT LIMITED,5,20
26,HEADSUP,EQ,HEADS UP VENTURES LIMITED,5,20
27,KRIDHANINF,BE,KRIDHAN INFRA LIMITED,5,2
