Security Wise Delivery Position - Compulsory Rolling Settlement
10,MTO,04092024,1667967481,0002449
Trade Date <04-SEP-2024>,Settlement Type <N>
Record Type,Sr No,Name of Security,Quantity Traded,Deliverable Quantity(gross across client level),% of Deliverable Quantity to Traded Quantity
20,2063,SILVER,EQ,162621,140965,86.68
20,2064,SILVER1,EQ,68410,56855,83.11
20,2065,SILVERADD,EQ,22349,17205,76.98
20,2066,SILVERBEES,EQ,9600605,8075892,84.12
20,2067,SILVERETF,EQ,256310,227710,88.84
20,2068,SILVERIETF,EQ,1468525,1025336,69.82
20,2069,SILVERTUC,EQ,20017,2773,13.85
20,2070,SILVRETF,EQ,34373,32377,94.19
20,2071,SIMPLEXINF,EQ,147519,117282,79.50
20,2072,SINCLAIR,EQ,82900,48444,58.44
20,2073,SINDHUTRAD,EQ,4807559,2743660,57.07
20,2074,SINTERCOM,EQ,14940,9990,66.87
20,2075,SIRCA,EQ,290454,98539,33.93
20,2076,SIS,EQ,82133,54432,66.27
20,2077,SIYSIL,EQ,27998,17980,64.22
20,2078,SJLOGISTIC,SM,38500,30500,79.22
20,2079,SJS,EQ,147659,77645,52.58
20,2080,SJVN,EQ,4878488,1786698,36.62
20,2081,SKFINDIA,EQ,43827,22569,51.50
20,2082,SKIPPER,EQ,220957,86815,39.29
20,2083,SKIPPERPP,E1,535,455,85.05
20,2084,SKMEGGPROD,EQ,340348,111204,32.67
20,2085,SKP,SM,13000,10500,80.77
20,2086,SLONE,ST,19200,19200,100.00
20,2087,SMALLCAP,EQ,977045,798250,81.70
20,2088,SMARTLINK,EQ,34557,12480,36.11
20,2089,SMCGLOBAL,EQ,854418,627897,73.49
20,2090,SMLISUZU,EQ,22776,12864,56.48
20,2091,SMLT,EQ,16639,9222,55.42
20,2092,SMSPHARMA,EQ,273891,116830,42.66
20,2093,SNOWMAN,EQ,996202,330041,33.13
20,2094,SOBHA,EQ,71427,33224,46.51
20,2095,SOBHAPP,E1,620,603,97.26
20,2096,SOFTTECH,EQ,3263,1473,45.14
20,2097,SOLARAPP,X1,16881,14844,87.93
20,2098,SOLARINDS,EQ,32362,16725,51.68
20,2099,SOLEX,SM,17600,9800,55.68
20,2100,SOMANYCERA,EQ,21168,10094,47.69
20,2101,SOMATEX,EQ,88761,33551,37.80
20,2102,SONACOMS,EQ,2386638,967610,40.54
20,2103,SONAMAC,SM,30000,18000,60.00
20,2104,SONAMLTD,EQ,26079,17878,68.55
20,2105,SONATSOFTW,EQ,541786,262716,48.49
20,2106,SOTL,EQ,109379,40799,37.30
20,2107,SOUTHBANK,EQ,8306348,4427685,53.30
20,2108,SOUTHWEST,EQ,558999,247873,44.34
20,2109,SPAL,EQ,20836,11141,53.47
20,2110,SPANDANA,EQ,115364,63978,55.46
20,2111,SPARC,EQ,751539,277289,36.90
20,2112,SPCENET,EQ,4151689,1978332,47.65
20,2113,SPCL,SM,44400,34800,78.38
20,2114,SPECIALITY,EQ,115952,72075,62.16
20,2115,SPECTRUM,SM,1625,1125,69.23
20,2116,SPECTSTM,SM,39200,29600,75.51
20,2117,SPENCERS,EQ,1219874,429441,35.20
20,2118,SPIC,EQ,1496515,508446,33.98
20,2119,SPLIL,EQ,29485,22404,75.98
20,2120,SPLPETRO,EQ,20990,11785,56.15
20,2121,SPORTKING,EQ,47477,23310,49.10
20,2122,SPRL,ST,800,800,100.00
20,2123,SREEL,EQ,10977,6481,59.04
20,2124,SRF,EQ,486482,303992,62.49
20,2125,SRGHFL,EQ,5837,3380,57.91
20,2126,SRHHYPOLTD,EQ,18289,9812,53.65
20,2127,SRIVASAVI,SM,54000,42000,77.78
20,2128,SRPL,EQ,2132413,1863831,87.40
20,2129,SSDL,EQ,609365,298682,49.02
20,2130,SSEGL,SM,124000,103000,83.06
20,2131,SSFL,SM,57000,42000,73.68
20,2132,SSWL,EQ,130343,93418,71.67
20,2133,STANLEY,EQ,152066,69000,45.38
20,2134,STAR,EQ,383933,244181,63.60
20,2135,STARCEMENT,EQ,256615,122573,47.77
20,2136,STARHEALTH,EQ,1908274,1248795,65.44
20,2137,STARPAPER,EQ,15471,9679,62.56
20,2138,STCINDIA,EQ,133235,54985,41.27
20,2139,STEELCAS,EQ,129398,55161,42.63
20,2140,STEELCITY,EQ,172215,78273,45.45
20,2141,STEELXIND,EQ,2814196,1764061,62.68
20,2142,STERTOOLS,EQ,132090,56710,42.93
20,2143,STLTECH,EQ,1294301,634013,48.98
20,2144,STOVEKRAFT,EQ,88654,50835,57.34
20,2145,STYLAMIND,EQ,21416,12674,59.18
20,2146,STYRENIX,EQ,33757,23668,70.11
20,2147,SUBEXLTD,EQ,2692013,1230522,45.71
20,2148,SUBROS,EQ,79910,35274,44.14
20,2149,SUDARSCHEM,EQ,512626,169930,33.15
20,2150,SUKHJITS,EQ,11368,8027,70.61
20,2151,SULA,EQ,253162,130071,51.38
20,2152,SUMICHEM,EQ,698743,274503,39.29
20,2153,SUMMITSEC,EQ,8709,4353,49.98
20,2154,SUNCLAY,EQ,3449,1627,47.17
20,2155,SUNDARMFIN,EQ,96006,50174,52.26
20,2156,SUNDARMHLD,EQ,175329,97181,55.43
20,2157,SUNDRMFAST,EQ,68206,34436,50.49
20,2158,SUNFLAG,EQ,353048,212727,60.25
20,2159,SUNLITE,SM,68400,43200,63.16
20,2160,SUNPHARMA,EQ,2473477,1787356,72.26
20,2161,SUNTECK,EQ,379560,205441,54.13
20,2162,SUNTV,EQ,606264,246233,40.61
20,2163,SUPERHOUSE,EQ,13383,9669,72.25
20,2164,SUPERSPIN,EQ,79539,43491,54.68
20,2165,SUPRAJIT,EQ,245016,134892,55.05
20,2166,SUPREMEIND,EQ,160931,118751,73.79
20,2167,SUPREMEPWR,ST,37000,34000,91.89
20,2168,SUPRIYA,EQ,856442,390984,45.65
20,2169,SURAJLTD,EQ,5082,2703,53.19
20,2170,SURANASOL,EQ,171306,86971,50.77
20,2171,SURANI,SM,9600,6800,70.83
20,2172,SURYALAXMI,EQ,27006,9515,35.23
20,2173,SURYAROSNI,EQ,128859,74473,57.79
20,2174,SURYODAY,EQ,257326,120743,46.92
20,2175,SUTLEJTEX,EQ,419302,153094,36.51
20,2176,SUVEN,EQ,401462,187061,46.59
20,2177,SUVENPHAR,EQ,401997,165092,41.07
20,2178,SUVIDHAA,EQ,645006,204719,31.74
20,2179,SUYOG,EQ,17622,10342,58.69
20,2180,SUZLON,EQ,28321394,15155261,53.51
20,2181,SVLL,EQ,41000,15548,37.92
20,2182,SVPGLOB,EQ,55978,38561,68.89
20,2183,SWANENERGY,EQ,1121830,523398,46.66
20,2184,SWARAJ,SM,16000,14000,87.50
20,2185,SWARAJENG,EQ,12273,7282,59.33
20,2186,SWASTIK,SM,30000,22800,76.00
20,2187,SWELECTES,EQ,865503,273464,31.60
