"Security Name","Symbol Name","Trade Date","Quantity"
"AXIS BANK LIMITED","AXISBANK","04-Sep-2024","25"
"HCL TECHNOLOGIES LTD","HCLTECH","04-Sep-2024","274847"
"INFRA. DEV. FIN. CO. LTD","IDFC","04-Sep-2024","40"
"ZYDUS LIFESCIENCES","ZYDUSLIFE","04-Sep-2024","12"
"GLENMARK PHARMACEUTICALS LIMITED","GLENMARK","04-Sep-2024","29"
"OIL AND NATURAL GAS CORP.","ONGC","04-Sep-2024","18"
"GAIL (INDIA) LTD","GAIL","04-Sep-2024","18"
"INDIAN RAIL TOUR CORP LTD","IRCTC","04-Sep-2024","823"
"BANK OF BARODA","BANKBARODA","04-Sep-2024","26"
"INDIAN ENERGY EXCHANGE LIMITED","IEX","04-Sep-2024","107"
"LTIMINDTREE LIMITED","LTIM","04-Sep-2024","3"
"BALKRISHNA IND. LTD      ","BALKRISIND","04-Sep-2024","54"
"CUMMINS INDIA LTD","CUMMINSIND","04-Sep-2024","3"
"RELIANCE INDUSTRIES LTD","RELIANCE","04-Sep-2024","8"
