Sr. No,Symbol,Series,Security Name,From,To
1,BALUFORGE,EQ,BALU FORGE INDUSTRIES LIMITED,10,20
2,KITEX,EQ,KITEX GARMENTS LIMITED,10,5
3,POCL,EQ,PONDY OXIDES & CHEMICALS LIMITED,10,5
4,AVONMORE,BE,AVONMORE CAPITAL & MANAGEMENT SERVICES  LIMITED,2,5
5,BYKE,BE,THE BYKE HOSPITALITY LTD,2,5
6,CCHHL,BE,COUNTRY CLUB HOSPITALITY & HOLIDAYS LIMITED,2,5
7,CREATIVEYE,BE,CREATIVE EYE LIMITED,2,5
8,CROWN,BE,CROWN LIFTERS LIMITED,2,5
9,ELECTHERM,BE,ELECTROTHERM (INDIA) LIMITED,2,5
10,FLEXITUFF,BE,FLEXITUFF VENTURES INTERNATIONAL LIMITED,2,5
11,GLOBALVECT,BE,GLOBAL VECTRA HELICORP LIMITED,2,5
12,GLOBE,BE,GLOBE TEXTILES (INDIA) LIMITED,2,5
13,KAUSHALYA,BE,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LIMITED,2,5
14,KEEPLEARN,BE,DSJ KEEP LEARNING LIMITED,2,5
15,MKPL,BE,M K PROTEINS LIMITED,2,5
16,PALREDTEC,BE,PALRED TECHNOLOGIES LIMITED,2,5
17,PARASPETRO,BE,PARAS PETROFILS LIMITED,2,5
18,PRAKASHSTL,BE,PRAKASH STEELAGE LIMITED,2,5
19,PRAXIS,BE,PRAXIS HOME RETAIL LIMITED,2,5
20,RELIABLE,BE,RELIABLE DATA SERVICES LIMITED,2,5
21,SUMEETINDS,BE,SUMEET INDUSTRIES LIMITED,2,5
22,TAINWALCHM,BE,TAINWALA CHEMICAL AND PLASTIC (I) LIMITED,2,5
23,TIJARIA,BE,TIJARIA POLYPIPES LIMITED,2,5
24,VSTL,BE,VIBHOR STEEL TUBES LIMITED,2,5
25,ZENITHSTL,BE,ZENITH STEEL PIPES & INDUSTRIES LIMITED,2,5
26,LAL,EQ,LORENZINI APPARELS LIMITED,20,10
27,MOKSH,BE,MOKSH ORNAMENTS LIMITED,20,5
28,NECLIFE,EQ,NECTAR LIFESCIENCES LIMITED,20,10
29,RAMASTEEL,EQ,RAMA STEEL TUBES LIMITED,20,10
30,RBL,BE,RANE BRAKE LINING LIMITED,20,5
31,REFEX,EQ,REFEX INDUSTRIES LIMITED,20,10
32,BRACEPORT,SM,BRACE PORT LOGISTICS LIMITED,5,20
33,FILATFASH,BE,FILATEX FASHIONS LIMITED,5,2
34,FORCAS,SM,FORCAS STUDIO LIMITED,5,20
