Sr. No,Symbol,Series,Security Name,From,To
1,GLOBE,EQ,GLOBE TEXTILES (INDIA) LIMITED,10,5
2,SERVOTECH,EQ,SERVOTECH POWER SYSTEMS LIMITED,10,5
3,AMJLAND,BE,AMJ LAND HOLDINGS LIMITED,20,5
4,KEYFINSERV,EQ,KEYNOTE FINANCIAL SERVICES LIMITED,20,10
5,MGEL,BE,MANGALAM GLOBAL ENTERPRISE LIMITED,20,5
6,MUKKA,EQ,MUKKA PROTEINS LIMITED,20,10
7,OCCL,EQ,ORIENTAL CARBON & CHEMICALS LIMITED,20,10
8,SYLVANPLY,SM,SYLVAN PLYBOARD (INDIA) LIMITED,20,10
9,DTL,SM,DIENSTEN TECH LIMITED,5,20
10,HECPROJECT,BE,HEC INFRA PROJECTS LIMITED,5,2
11,MADHUCON,BE,MADHUCON PROJECTS LIMITED,5,2
12,OSIAHYPER,BE,OSIA HYPER RETAIL LIMITED,5,2
13,SUPREMEENG,BE,SUPREME ENGINEERING LIMITED,5,2
14,TVVISION,BE,TV VISION LIMITED,5,2
15,VRAJ,EQ,VRAJ IRON AND STEEL LIMITED,5,20
